Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:32:17,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4577283,4512964,4663930,4663552,4687042,4674671,4667491,4638475,4654209,4671026,4641064,4641064
2025-01-30 18:32:17,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2601293,2159921,2115506,2080961,2070193,2126776,2073735,2047138,2104039,2060981,2144054,2144054
2025-01-30 18:32:17,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2296612,2107397,2099130,2090643,2082422,2119282,2071021,2093690,2087962,2082971,2113112,2113112
2025-01-30 18:32:17,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3892732,3785031,3823414,3829644,3803455,3808403,3806357,3849153,3846890,3839995,3828507,3828507
2025-01-30 18:32:17,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2902158,2833573,2843911,2827972,2847931,2815102,2836391,2827018,2835388,2830091,2839952,2839952
2025-01-30 18:32:17,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2620223,2354066,2340788,2348098,2361365,2368502,2339352,2339375,2376019,2396954,2384473,2384473
2025-01-30 18:32:17,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1660229,1533481,1530387,1505319,1546110,1571689,1521969,1543901,1544394,1549183,1550665,1550665
2025-01-30 18:32:17,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4012575,3951558,3980631,4014241,4051745,4007523,4034855,4016731,4032822,4038441,4014112,4014112
2025-01-30 18:32:18,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3050081,3008929,2995899,2980019,3023505,3014458,2997099,3005729,3011891,3098000,3018560,3018560
2025-01-30 18:32:18,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2875123,2548489,2568591,2586723,2618369,2596692,2641978,2669203,2704556,2682529,2649224,2649224
2025-01-30 18:32:18,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1809964,1636945,1652873,1719697,1720576,1721556,1768231,1728907,1737394,1766065,1726220,1726220
2025-01-30 18:32:18,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3415513,3248546,3235305,3241415,3250913,3287324,3283944,3323768,3311233,3303128,3290108,3290108
2025-01-30 18:32:18,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2371378,2228122,2235533,2305670,2319730,2373410,2412930,2399616,2424489,2412747,2348362,2348362
2025-01-30 18:32:18,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3912247,3832451,3857168,3862860,3911155,3895904,3933136,3912475,3942010,3940382,3899978,3899978
2025-01-30 18:32:18,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2968347,2930447,2940196,2941161,2926012,2957735,2995897,2983701,2969152,2983638,2959627,2959627
2025-01-30 18:32:18,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2833942,2550896,2541614,2524254,2543192,2503909,2520978,2522112,2516048,2514547,2557148,2557148
2025-01-30 18:32:18,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1836644,1665154,1638629,1650723,1654051,1669810,1664605,1671155,1655995,1666420,1677317,1677317
2025-01-30 18:32:18,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3670877,3581107,3603863,3581111,3578174,3601509,3590338,3613517,3643322,3661646,3612546,3612546
2025-01-30 18:32:18,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2771411,2708530,2733585,2718170,2746422,2761252,2751129,2797424,2805138,2803483,2759654,2759654
2025-01-30 18:32:18,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2825165,2495810,2501578,2505501,2513940,2546797,2539995,2552769,2540345,2550872,2557276,2557276
2025-01-30 18:32:18,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1738736,1633271,1603780,1628363,1614229,1691821,1657228,1684462,1670483,1659787,1658215,1658215
2025-01-30 18:32:18,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3736694,3621834,3650067,3672968,3620393,3633166,3572640,3632639,3638899,3652155,3643145,3643145
2025-01-30 18:32:18,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2866608,2793372,2777191,2775411,2762500,2797738,2791484,2794090,2792609,2798433,2794942,2794942
2025-01-30 18:32:18,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2559001,2340135,2324437,2331481,2349091,2344626,2336759,2344912,2338102,2352558,2362109,2362109
2025-01-30 18:32:18,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1689188,1514603,1502665,1492241,1509661,1526881,1539308,1507934,1544383,1570482,1539734,1539734
2025-01-30 18:32:18,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3612089,3543136,3533109,3566544,3530868,3557070,3543276,3541859,3540738,3570658,3553934,3553934
2025-01-30 18:32:18,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2693688,2665531,2637547,2643223,2639299,2663256,2646373,2648806,2654548,2641779,2653404,2653404
2025-01-30 18:32:18,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2650839,2324052,2283288,2276968,2285661,2288718,2303405,2309401,2331577,2338679,2339258,2339258
