Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:32:43,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4635379,4488914,4663180,4728819,4694425,4699572,4677645,4649908,4685687,4674431,4659796,4659796
2025-01-30 18:32:43,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2631225,2144965,2105472,2069377,2113001,2067196,2126171,2067468,2115303,2085910,2152608,2152608
2025-01-30 18:32:43,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2313902,2107273,2063420,2070651,2101133,2080288,2076356,2089346,2087165,2073701,2106323,2106323
2025-01-30 18:32:43,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3900995,3829039,3789919,3809772,3822923,3842385,3822505,3824313,3846956,3849105,3833791,3833791
2025-01-30 18:32:43,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2904693,2817669,2791219,2804397,2809942,2799309,2824148,2830761,2823413,2800419,2820597,2820597
2025-01-30 18:32:43,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2636127,2415955,2386667,2324385,2324476,2412050,2338463,2392452,2376850,2372390,2397980,2397980
2025-01-30 18:32:44,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1658699,1555149,1570639,1566789,1557611,1541199,1539605,1531793,1520116,1543127,1558472,1558472
2025-01-30 18:32:44,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4032967,3981085,4002018,4075181,4025406,4046314,4034950,4010561,4032439,4043415,4028432,4028432
2025-01-30 18:32:44,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3066194,3053778,3017894,2993773,3004592,3001409,3008207,2988315,2994633,3084032,3021282,3021282
2025-01-30 18:32:44,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2888963,2584779,2554285,2613102,2599209,2583964,2711292,2708244,2669445,2680144,2659342,2659342
2025-01-30 18:32:44,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1792376,1641367,1642480,1710939,1740263,1727904,1735200,1724861,1765009,1728902,1720929,1720929
2025-01-30 18:32:44,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3414380,3246645,3261667,3241738,3247449,3252177,3297166,3322270,3317523,3284976,3288598,3288598
2025-01-30 18:32:44,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2388863,2224102,2212967,2305027,2295374,2370526,2429006,2411065,2445702,2443160,2352578,2352578
2025-01-30 18:32:44,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3956106,3873037,3869121,3862483,3872531,3909469,3905329,3931543,3939047,3944682,3906334,3906334
2025-01-30 18:32:44,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2976550,2922705,2935178,2939059,2938641,2953421,2984196,2994234,3003686,3025575,2967324,2967324
2025-01-30 18:32:44,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2844119,2528323,2545142,2514096,2531082,2524499,2526126,2530980,2544382,2556509,2564525,2564525
2025-01-30 18:32:44,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1863783,1646002,1647967,1659131,1635505,1653178,1670312,1671123,1688869,1685650,1682151,1682151
2025-01-30 18:32:44,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3672967,3583194,3586079,3594723,3556085,3597013,3583199,3638937,3657199,3627636,3609702,3609702
2025-01-30 18:32:44,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2735821,2686024,2723336,2727079,2713956,2735318,2732838,2771289,2792507,2778975,2739713,2739713
2025-01-30 18:32:44,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2954349,2550715,2534954,2522728,2524951,2547392,2577811,2554764,2566287,2577359,2591130,2591130
2025-01-30 18:32:44,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1771775,1630237,1620308,1647548,1628942,1671517,1690762,1684419,1673482,1698157,1671713,1671713
2025-01-30 18:32:44,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3793108,3599442,3666125,3701853,3659376,3625898,3711579,3694820,3692348,3688135,3683268,3683268
2025-01-30 18:32:44,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2901243,2822077,2738025,2817608,2811742,2831003,2814361,2799069,2778796,2821001,2813492,2813492
2025-01-30 18:32:44,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2594225,2363161,2341807,2361639,2349688,2368209,2355504,2348790,2355273,2356379,2379467,2379467
2025-01-30 18:32:44,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1717000,1516498,1511320,1515958,1521595,1535841,1542743,1537156,1555145,1568748,1552200,1552200
2025-01-30 18:32:44,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3639885,3568574,3584001,3571617,3563571,3552164,3568025,3600067,3601534,3579371,3582880,3582880
2025-01-30 18:32:44,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2722891,2644977,2655070,2661697,2645288,2667130,2677709,2660478,2642719,2646334,2662429,2662429
2025-01-30 18:32:44,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2663688,2356205,2313337,2324240,2294490,2282036,2301435,2331258,2331217,2350144,2354804,2354804
2025-01-30 18:32:44,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1653750,1513392,1525145,1515955,1523108,1561287,1531537,1548935,1574987,1530662,1547875,1547875
2025-01-30 18:32:44,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,3550333,3384577,3400842,3389210,3398579,3369925,3385301,3402660,3386253,3392814,3406048,3406048
