Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:56:13,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4486155,14729,107108,4608351,3371863
2025-01-30 18:56:13,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4509397,2239,0,4511936,8271
2025-01-30 18:56:13,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4639405,2196,0,4641871,7457
2025-01-30 18:56:13,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4685741,1270,0,4687288,6715
2025-01-30 18:56:13,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4704875,2171,0,4707382,6087
2025-01-30 18:56:13,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4671438,1687,0,4673355,6068
2025-01-30 18:56:13,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4709101,2335,0,4711750,6298
2025-01-30 18:56:13,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4678059,1839,0,4680155,6044
2025-01-30 18:56:13,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4686567,1934,0,4688736,5758
2025-01-30 18:56:13,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4673632,2077,0,4675958,6607
2025-01-30 18:56:13,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2620189,2590,58617,2682030,7330
2025-01-30 18:56:13,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2175985,1309,0,2177532,6760
2025-01-30 18:56:13,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2123453,926,0,2124617,5899
2025-01-30 18:56:13,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2132973,1129,0,2134317,5901
2025-01-30 18:56:13,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2101623,1093,0,2102962,5967
2025-01-30 18:56:13,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2104769,1351,0,2106388,6303
2025-01-30 18:56:13,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2096041,1098,0,2097344,5755
2025-01-30 18:56:13,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2077629,900,0,2078778,6245
2025-01-30 18:56:13,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2129241,1049,0,2130535,5314
2025-01-30 18:56:13,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2097113,1217,0,2098521,5589
2025-01-30 18:56:13,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2232757,1318,59229,2293611,18803
2025-01-30 18:56:13,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2104863,1653,0,2107007,6230
2025-01-30 18:56:13,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2122608,1239,0,2124144,6565
2025-01-30 18:56:13,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2113994,1833,0,2116148,5992
2025-01-30 18:56:13,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2113217,1200,0,2114795,6821
2025-01-30 18:56:13,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2088706,1015,0,2090005,6165
2025-01-30 18:56:13,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2076223,1307,0,2077796,6272
2025-01-30 18:56:13,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2104332,1258,0,2105851,6111
2025-01-30 18:56:13,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2111866,1325,0,2113442,6399
2025-01-30 18:56:13,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2088206,1327,0,2089765,5418
2025-01-30 18:56:13,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3855020,1703,61364,3918394,23775
2025-01-30 18:56:13,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3855807,1914,0,3858052,5721
2025-01-30 18:56:13,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3842541,1653,0,3844455,5415
2025-01-30 18:56:13,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3835592,2231,0,3838123,5842
2025-01-30 18:56:13,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3837466,1786,0,3839589,5602
2025-01-30 18:56:13,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3864032,1954,0,3866210,5038
2025-01-30 18:56:13,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3868659,1584,0,3870493,5475
2025-01-30 18:56:13,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3851354,1410,0,3853025,6572
2025-01-30 18:56:13,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3850225,1508,0,3851995,4693
2025-01-30 18:56:13,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3825634,1897,0,3828006,5364
2025-01-30 18:56:13,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2831866,15860,59603,2907755,6784
2025-01-30 18:56:13,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2844523,2128,0,2847201,5263
2025-01-30 18:56:13,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2818897,1788,0,2821439,4636
