Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:56:13,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4608351,4511936,4641871,4687288,4707382,4673355,4711750,4680155,4688736,4675958,4658678,4658678
2025-01-30 18:56:13,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2682030,2177532,2124617,2134317,2102962,2106388,2097344,2078778,2130535,2098521,2173302,2173302
2025-01-30 18:56:13,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2293611,2107007,2124144,2116148,2114795,2090005,2077796,2105851,2113442,2089765,2123256,2123256
2025-01-30 18:56:13,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3918394,3858052,3844455,3838123,3839589,3866210,3870493,3853025,3851995,3828006,3856834,3856834
2025-01-30 18:56:13,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2907755,2847201,2821439,2844873,2849923,2841300,2863619,2848261,2837639,2832708,2849471,2849471
2025-01-30 18:56:13,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2694324,2419705,2412119,2393186,2352804,2373318,2383725,2353656,2357893,2371019,2411174,2411174
2025-01-30 18:56:13,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1653188,1545042,1544151,1547797,1575434,1590143,1557143,1548408,1529509,1570465,1566127,1566127
2025-01-30 18:56:13,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4029368,3938196,4030670,4252260,4024429,4016237,4089462,4024036,4042191,6196244,4264308,4264308
2025-01-30 18:56:13,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3093242,3018908,3026680,3015626,3447504,3038011,3001817,3092975,3032779,3058747,3082628,3082628
2025-01-30 18:56:13,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2952893,2637160,2596260,2636935,2630033,2699710,2701897,2684841,2672902,2697210,2690984,2690984
2025-01-30 18:56:13,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1830474,1627617,1696264,1702192,1726009,1759993,1752162,1725924,1768715,1773703,1736305,1736305
2025-01-30 18:56:13,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3453766,3290466,3291395,3307582,3295964,3296181,3318471,3342816,3337043,3375020,3330870,3330870
2025-01-30 18:56:13,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2446561,2259064,2246587,2362101,2376085,2411978,2427207,2437223,2479238,2445242,2389128,2389128
2025-01-30 18:56:13,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3953171,3867612,3871108,3902056,3900059,3958176,3932226,3953192,3956011,3942684,3923629,3923629
2025-01-30 18:56:13,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2965341,2903197,2924200,2927148,2920777,2942784,2961422,3019928,2991531,2985503,2954182,2954182
2025-01-30 18:56:13,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2890508,2568408,2558036,2554290,2597735,2578139,2571935,2573221,2553952,2577632,2602385,2602385
2025-01-30 18:56:13,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1900808,1669153,1717954,1654914,1675614,1688750,1689986,1701831,1677205,1711837,1708804,1708804
2025-01-30 18:56:13,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3711755,3614552,3593291,3620487,3596114,3642343,3651049,3635714,3679037,3659161,3640349,3640349
2025-01-30 18:56:13,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2756938,2695751,2722895,2735649,2728825,2761682,2770474,2796841,2806181,2826705,2760193,2760193
2025-01-30 18:56:13,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2980439,2633452,2639567,2603737,2642928,2597136,2610193,2633281,2598973,2612681,2655238,2655238
2025-01-30 18:56:13,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1798952,1648913,1669802,1678483,1662921,1706982,1734520,1720323,1727671,1798646,1714721,1714721
2025-01-30 18:56:13,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3730406,3662733,3693050,3665929,3674825,3699352,3668157,3676761,3684226,3700610,3685604,3685604
2025-01-30 18:56:14,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2847417,2802420,2763294,2799386,2756347,2785182,2784153,2785158,2783789,2797909,2790505,2790505
2025-01-30 18:56:14,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2623241,2457932,2441055,2441907,2419520,2453455,2388087,2377946,2381921,2432751,2441781,2441781
2025-01-30 18:56:14,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1724487,1543955,1518180,1540468,1542334,1548815,1550780,1531318,1559410,1591278,1565102,1565102
2025-01-30 18:56:14,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3602834,3576369,3567040,3567012,3587100,3583044,3576827,3573057,3587770,3591284,3581233,3581233
2025-01-30 18:56:14,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2710742,2661982,2658163,2646774,2644860,2684241,2667288,2674290,2676300,2657653,2668228,2668228
2025-01-30 18:56:14,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2708743,2383427,2372200,2351490,2364976,2328943,2350662,2353221,2352081,2348647,2391439,2391439
2025-01-30 18:56:14,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1707421,1515806,1524203,1567558,1527332,1541651,1544938,1551759,1554258,1566952,1560187,1560187
2025-01-30 18:56:14,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,3514609,3362784,3332494,3405274,3375331,3349494,3366329,3365846,3363120,3368999,3380428,3380428
2025-01-30 18:56:14,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2619568,2587004,2586168,2597764,2578609,2592019,2592214,2589248,2583674,2579006,2590526,2590526
2025-01-30 18:56:14,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3049832,2313751,2312676,2279283,2282304,2272267,2262731,2298492,2285373,2313797,2367050,2367050
2025-01-30 18:56:14,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1691675,1484039,1486906,1485464,1520318,1506027,1487497,1499422,1733260,1564716,1545931,1545931
2025-01-30 18:56:14,339,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,3495039,3310445,3303038,3312770,3302364,3312837,3304137,3276652,3407262,3386350,3341088,3341088
2025-01-30 18:56:14,349,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,2582193,2505095,2537124,2534707,2538445,2538511,2547609,2533907,2555133,2562678,2543539,2543539
2025-01-30 18:56:14,359,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3046785,2316529,2262475,2248776,2244827,2249642,2245506,2269378,2258020,2284737,2342667,2342667
2025-01-30 18:56:14,369,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1624812,1469593,1486847,1471212,1466068,1480407,1437494,1480248,1508615,1488604,1491389,1491389
2025-01-30 18:56:14,379,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,8871362,11198489,11172460,11183130,11235015,11218646,11210345,11199582,11221191,11198942,10970916,10970916
2025-01-30 18:56:14,389,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,4878179,8123152,8107941,8189354,8126359,8107245,8154769,8154448,8181623,8162908,7818597,7818597
2025-01-30 18:56:14,399,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,7494480,10266224,10230512,10274269,10227978,10263818,10266542,10275698,10275055,10297958,9987253,9987253
2025-01-30 18:56:15,409,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,4875770,8450589,8412098,8439148,8451694,8419131,8537687,8516643,8515544,8522740,8114104,8114104
2025-01-30 18:56:15,419,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,4814579,8084617,8078517,8043472,8081700,8055375,8045812,8367137,8092404,8068928,7773253,7773253
2025-01-30 18:56:15,429,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3441493,7407898,7367866,7382572,7378999,7341408,7425007,7382546,7352538,7331242,6981156,6981156
