Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:36:42,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4630822,4511576,4683209,4691708,4702458,4689689,4705398,4693599,4674085,4694159,4667669,4667669
2025-01-30 18:36:42,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2598718,2166216,2114433,2092179,2112938,2063954,2103232,2114384,2071700,2059525,2149727,2149727
2025-01-30 18:36:42,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2296887,2107655,2078372,2096263,2107241,2088404,2118581,2090421,2086846,2089494,2116015,2116015
2025-01-30 18:36:42,31,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3957592,3869859,-1,-1,-1,-1,-1,-1,-1,-1,3878632,3878632
2025-01-30 18:36:42,33,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2877833,2826039,-1,-1,-1,-1,-1,-1,-1,-1,2831218,2831218
2025-01-30 18:36:42,43,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2618351,2363364,2346260,2317708,2289208,2337049,2323848,2297665,2333074,2329216,2355573,2355573
2025-01-30 18:36:42,53,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1620593,1492091,1489198,1487321,1488610,1532453,1507455,1519855,1541695,1529515,1520878,1520878
2025-01-30 18:36:42,55,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3942465,3908628,-1,-1,-1,-1,-1,-1,-1,-1,3912011,3912011
2025-01-30 18:36:42,57,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2934301,2882542,-1,-1,-1,-1,-1,-1,-1,-1,2887717,2887717
2025-01-30 18:36:42,59,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2536197,2380690,-1,-1,-1,-1,-1,-1,-1,-1,2396240,2396240
2025-01-30 18:36:42,69,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1686491,1537124,1542407,1554693,1529071,1543352,1539692,1542862,1535299,1530012,1554100,1554100
2025-01-30 18:36:42,71,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3251477,3038985,-1,-1,-1,-1,-1,-1,-1,-1,3060234,3060234
2025-01-30 18:36:42,73,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2239214,2148979,-1,-1,-1,-1,-1,-1,-1,-1,2158002,2158002
2025-01-30 18:36:42,75,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,4040757,3972332,-1,-1,-1,-1,-1,-1,-1,-1,3979174,3979174
2025-01-30 18:36:42,77,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2983357,2914873,-1,-1,-1,-1,-1,-1,-1,-1,2921721,2921721
2025-01-30 18:36:42,79,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2700978,2501227,-1,-1,-1,-1,-1,-1,-1,-1,2521202,2521202
2025-01-30 18:36:42,89,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1744405,1644031,1622058,1623886,1596110,1604116,1618031,1599194,1616772,1688050,1635665,1635665
2025-01-30 18:36:42,91,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3875697,3859598,-1,-1,-1,-1,-1,-1,-1,-1,3861207,3861207
2025-01-30 18:36:42,93,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2812403,2792118,-1,-1,-1,-1,-1,-1,-1,-1,2794146,2794146
2025-01-30 18:36:42,95,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2816485,2505098,-1,-1,-1,-1,-1,-1,-1,-1,2536236,2536236
