Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:36:42,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7234110,6875057,6858057,7109254,7243745,7233420,7187096,7027978,7305156,7225954,7129982,7129982
2025-01-30 18:36:42,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4173532,3391047,3480536,3217145,3454718,3170484,3456089,3137238,3480855,2423541,3338518,3338518
2025-01-30 18:36:42,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2306711,2086795,2102843,2084660,2070606,2107178,2097308,2087870,2083064,3236690,2226372,2226372
2025-01-30 18:36:42,31,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6098780,5933245,-1,-1,-1,-1,-1,-1,-1,-1,5949798,5949798
2025-01-30 18:36:42,33,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4406681,4480233,-1,-1,-1,-1,-1,-1,-1,-1,4472877,4472877
2025-01-30 18:36:42,43,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4074217,3848693,3843931,3794827,3821185,3870613,3760325,3825807,3864731,3868233,3857255,3857255
2025-01-30 18:36:42,53,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2665031,2577529,2620625,2610244,2510158,2526893,2616984,2561663,2515537,2613732,2581839,2581839
2025-01-30 18:36:42,55,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6176352,6042606,-1,-1,-1,-1,-1,-1,-1,-1,6055980,6055980
2025-01-30 18:36:42,65,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4533120,4251877,4315523,4337874,4453269,4443540,4566152,4398853,4459810,4592819,4435283,4435283
2025-01-30 18:36:42,75,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4234162,3831747,3831313,3705829,3655009,3656908,3819639,3797592,3859870,3737304,3812936,3812936
2025-01-30 18:36:42,85,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2933044,2666277,2396831,2655479,2525457,2687266,2491307,2701178,2507132,2674700,2623867,2623867
2025-01-30 18:36:42,87,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5209754,5086021,-1,-1,-1,-1,-1,-1,-1,-1,5098394,5098394
2025-01-30 18:36:42,97,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3503812,3639214,3689041,3767268,3703421,3744618,3797286,3647114,3941315,3845166,3727824,3727824
2025-01-30 18:36:42,99,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6107644,6136123,-1,-1,-1,-1,-1,-1,-1,-1,6133275,6133275
2025-01-30 18:36:42,103,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4573658,4405130,4412323,4646520,-1,-1,-1,-1,-1,-1,4496557,4496557
2025-01-30 18:36:42,113,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4300829,3997071,4019910,4066384,4086837,4091884,4093454,4074873,4155437,4144467,4103114,4103114
2025-01-30 18:36:42,123,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2868820,2680005,2750777,2772947,2817059,2795695,2777429,2744031,2731456,2815479,2775369,2775369
2025-01-30 18:36:42,125,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6124287,6498954,-1,-1,-1,-1,-1,-1,-1,-1,6461487,6461487
2025-01-30 18:36:42,135,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4497214,4350748,4286271,4215930,4359883,4417703,4525512,4623667,4351139,4541399,4416946,4416946
2025-01-30 18:36:43,145,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,4461009,3984162,4116616,4118430,4100301,4138896,4080175,4159344,4194317,4204922,4155817,4155817
2025-01-30 18:36:43,155,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2916589,2756805,2770521,2621793,2746014,2737256,2724478,2693266,2728233,2703428,2739838,2739838
2025-01-30 18:36:43,157,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,6080463,5955857,-1,-1,-1,-1,-1,-1,-1,-1,5968317,5968317
2025-01-30 18:36:43,167,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4505016,4382915,4391831,4383231,4392937,4388728,4412199,4392811,4413340,4411009,4407401,4407401
2025-01-30 18:36:43,177,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,4506045,3904514,3896540,3911303,3897644,3883651,4366610,4163307,3913220,3961935,4040476,4040476
2025-01-30 18:36:43,187,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2865887,2539867,2564465,2588595,2619562,2623255,2623742,2652925,2646508,2703034,2642783,2642783
2025-01-30 18:36:43,189,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5764765,5683984,-1,-1,-1,-1,-1,-1,-1,-1,5692062,5692062
2025-01-30 18:36:43,199,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4297393,4252453,4265966,4323596,4318239,4322770,4354894,4369586,4345205,4341150,4319124,4319124
2025-01-30 18:36:43,209,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4273611,3904870,3848843,3869066,3849103,3909461,3926351,3933181,3933463,3919665,3936760,3936760
2025-01-30 18:36:43,219,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2654380,2446597,2451709,2479199,2476416,2491735,2504474,2483162,2481973,2502744,2497238,2497238
2025-01-30 18:36:43,221,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5816214,5644794,-1,-1,-1,-1,-1,-1,-1,-1,5661936,5661936
2025-01-30 18:36:43,231,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4286397,4193236,4188718,4176585,4183145,4174395,4185773,4227557,4183424,4195481,4199470,4199470
2025-01-30 18:36:43,241,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,5184097,3837260,3809819,3826206,3828501,3811014,3993275,3858111,3838620,3837456,3982435,3982435
2025-01-30 18:36:43,251,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2830614,2476342,2469993,2490587,2502799,2489382,2543505,2545246,2539377,2561406,2544924,2544924
2025-01-30 18:36:43,253,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,5719638,5597290,-1,-1,-1,-1,-1,-1,-1,-1,5609524,5609524
2025-01-30 18:36:43,263,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,4249613,4161751,4152563,4183125,4143423,4170280,4182702,4180219,4158445,4193536,4177565,4177565
2025-01-30 18:36:43,273,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,5133136,3831759,3770204,3777549,3756958,3793548,3756039,3762668,3761966,3775915,3911973,3911973
2025-01-30 18:36:43,283,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2739214,2422489,2430761,2452862,2447447,2484030,2526370,2547419,2551456,2545880,2514792,2514792
2025-01-30 18:36:43,285,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,15154396,18887197,-1,-1,-1,-1,-1,-1,-1,-1,18513916,18513916
2025-01-30 18:36:43,287,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,8606443,14092456,-1,-1,-1,-1,-1,-1,-1,-1,13543854,13543854
2025-01-30 18:36:43,289,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,13428859,17907366,-1,-1,-1,-1,-1,-1,-1,-1,17459515,17459515
2025-01-30 18:36:43,291,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,8873667,11201382,-1,-1,-1,-1,-1,-1,-1,-1,10968610,10968610
