Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:36:44,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4494928,15576,132781,4643741,2013051
2025-01-30 18:36:44,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4552279,3313,0,4555890,13559
2025-01-30 18:36:44,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4659760,3922,0,4664123,9412
2025-01-30 18:36:44,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4708773,2671,0,4711868,9153
2025-01-30 18:36:44,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4696219,3174,0,4699680,9215
2025-01-30 18:36:44,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4699030,3664,0,4703043,7754
2025-01-30 18:36:44,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4748540,3546,0,4752435,9571
2025-01-30 18:36:44,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4708430,2911,0,4711589,8079
2025-01-30 18:36:44,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4695892,5517,0,4701724,7596
2025-01-30 18:36:44,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4716027,2962,0,4719348,7967
2025-01-30 18:36:44,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2638165,2478,61711,2702765,10544
2025-01-30 18:36:44,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2230089,1869,0,2232302,9641
2025-01-30 18:36:44,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2160193,1464,0,2161999,8287
2025-01-30 18:36:44,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2167427,3792,0,2171639,7417
2025-01-30 18:36:44,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2130226,2239,0,2132735,9785
2025-01-30 18:36:44,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2138783,2589,0,2141601,7912
2025-01-30 18:36:44,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2084218,1721,0,2086176,8812
2025-01-30 18:36:44,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2144742,1587,0,2146841,7962
2025-01-30 18:36:44,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2164201,2289,0,2167118,8134
2025-01-30 18:36:44,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2163593,2417,0,2166350,8844
2025-01-30 18:36:44,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2313423,2727,59602,2376167,20778
2025-01-30 18:36:44,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2165450,3107,0,2168890,10137
2025-01-30 18:36:44,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2122129,2453,0,2125260,7999
2025-01-30 18:36:44,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2147607,2144,0,2150054,9585
2025-01-30 18:36:44,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2143687,3014,0,2147130,7789
2025-01-30 18:36:44,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2126988,3925,0,2131186,11946
2025-01-30 18:36:44,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2088298,2889,0,2091369,9532
2025-01-30 18:36:44,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2155502,2354,0,2158122,9483
2025-01-30 18:36:44,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2143096,2818,0,2146122,8408
2025-01-30 18:36:44,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2137335,1840,0,2139413,7587
2025-01-30 18:36:44,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3861874,2533,63057,3927771,16921
2025-01-30 18:36:44,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3834907,2946,0,3838262,7645
2025-01-30 18:36:44,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3814897,2066,0,3817326,6965
2025-01-30 18:36:44,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3800964,2774,0,3803999,5886
2025-01-30 18:36:44,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3815926,2035,0,3818201,6284
2025-01-30 18:36:44,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3804103,2267,0,3806612,6147
2025-01-30 18:36:44,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3827303,2509,0,3830078,4990
2025-01-30 18:36:44,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3829551,2622,0,3832412,5551
2025-01-30 18:36:44,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3862422,2474,0,3865159,6480
2025-01-30 18:36:44,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3832946,2214,0,3835424,6507
2025-01-30 18:36:44,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2819098,12935,58979,2891376,9678
2025-01-30 18:36:44,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2821462,3086,0,2824868,5752
2025-01-30 18:36:44,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2819287,3659,0,2823307,6794
2025-01-30 18:36:44,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2815849,2019,0,2818212,6157
