Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:36:55,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6647072,33373,155126,6836366,3123074
2025-01-30 18:36:55,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7111619,4531,0,7116510,14925
2025-01-30 18:36:55,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6811850,3185,0,6815557,12468
2025-01-30 18:36:55,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7177916,3795,0,7182202,12078
2025-01-30 18:36:55,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7311140,3891,0,7315374,12535
2025-01-30 18:36:55,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7188585,3171,0,7192189,9398
2025-01-30 18:36:55,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7556139,3128,0,7559851,11911
2025-01-30 18:36:55,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7195121,3257,0,7199390,12215
2025-01-30 18:36:55,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7344064,2919,0,7347470,11028
2025-01-30 18:36:55,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7280956,2943,0,7284332,10370
2025-01-30 18:36:56,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4527193,2706,103312,4633680,13076
2025-01-30 18:36:56,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3222763,2213,0,3225986,8705
2025-01-30 18:36:56,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2231604,1693,0,2233576,8176
2025-01-30 18:36:56,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2239763,1713,0,2241708,7743
2025-01-30 18:36:56,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2201165,1067,0,2202476,7750
2025-01-30 18:36:56,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2244122,3174,0,2247842,6999
2025-01-30 18:36:56,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2209877,1738,0,2211913,8005
2025-01-30 18:36:56,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2230049,1236,0,2231522,6919
2025-01-30 18:36:56,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2146615,1132,0,2147973,6085
2025-01-30 18:36:56,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2160648,1444,0,2162387,5777
2025-01-30 18:36:56,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2361867,1522,63307,2427012,20122
2025-01-30 18:36:56,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2204046,1410,0,2205724,8553
2025-01-30 18:36:56,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2210505,1253,0,2212031,7521
2025-01-30 18:36:56,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2203618,1667,0,2205537,6489
2025-01-30 18:36:56,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2179459,1360,0,2181060,6505
