Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:56:20,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6968106,21455,144037,7134404,3130636
2025-01-30 18:56:20,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6760288,4232,0,6765599,12192
2025-01-30 18:56:20,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7061593,3212,0,7065200,11216
2025-01-30 18:56:20,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6174877,3129,0,6178702,11539
2025-01-30 18:56:20,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4707913,1758,0,4709925,7726
2025-01-30 18:56:20,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4680469,2294,0,4683038,6411
2025-01-30 18:56:20,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4734499,1771,0,4736539,6507
2025-01-30 18:56:20,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4716053,1883,0,4718215,6774
2025-01-30 18:56:20,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4714680,1403,0,4716363,6828
2025-01-30 18:56:20,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4687635,1649,0,4689932,5896
2025-01-30 18:56:20,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2628892,2538,59710,2691503,7975
2025-01-30 18:56:20,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2147822,1180,0,2149261,7424
2025-01-30 18:56:20,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2147225,2077,0,2149575,6313
2025-01-30 18:56:20,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2114243,1309,0,2115806,6189
2025-01-30 18:56:20,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2088548,1202,0,2089982,5586
2025-01-30 18:56:20,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2155924,1450,0,2157706,6609
2025-01-30 18:56:20,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2094550,1165,0,2096103,6833
2025-01-30 18:56:20,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2091993,1099,0,2093320,5560
2025-01-30 18:56:20,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2124263,1537,0,2126054,5990
2025-01-30 18:56:20,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2079229,1167,0,2080626,5427
2025-01-30 18:56:20,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2245728,1744,59837,2307722,18140
2025-01-30 18:56:20,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2127220,1955,0,2129427,7188
2025-01-30 18:56:20,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2140169,1890,0,2142314,6874
2025-01-30 18:56:20,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2099575,1423,0,2101239,6099
2025-01-30 18:56:20,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2139096,2273,0,2142009,6902
2025-01-30 18:56:20,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2109244,1881,0,2111418,6353
2025-01-30 18:56:20,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2096624,1699,0,2098639,6821
2025-01-30 18:56:20,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2109666,1319,0,2111226,6120
2025-01-30 18:56:20,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2096677,1453,0,2098382,6272
2025-01-30 18:56:20,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2076251,1356,0,2077928,6643
2025-01-30 18:56:20,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3868883,1767,62820,3933919,17142
2025-01-30 18:56:20,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3821024,1222,0,3822640,4987
2025-01-30 18:56:20,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3885025,2448,0,3887820,5042
2025-01-30 18:56:20,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3830548,1645,0,3832416,6043
2025-01-30 18:56:20,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3859260,1368,0,3860837,5240
2025-01-30 18:56:20,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3872567,2007,0,3874873,5025
2025-01-30 18:56:20,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3860556,2206,0,3863236,5129
2025-01-30 18:56:20,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3856773,2563,0,3859604,5571
2025-01-30 18:56:20,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3850377,1820,0,3852430,6170
2025-01-30 18:56:20,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3854298,1940,0,3856722,6890
2025-01-30 18:56:20,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2842003,13393,58901,2914580,7897
2025-01-30 18:56:20,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2836932,2140,0,2839303,5709
2025-01-30 18:56:20,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2827079,2144,0,2829507,4970
2025-01-30 18:56:20,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2831802,1785,0,2833798,5423
2025-01-30 18:56:20,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2823442,1646,0,2825326,5400
2025-01-30 18:56:20,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2853444,1626,0,2855365,4783
2025-01-30 18:56:20,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2850563,1701,0,2852736,5417
2025-01-30 18:56:20,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2842724,1529,0,2844965,4267
2025-01-30 18:56:20,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2853364,1494,0,2855096,5666
2025-01-30 18:56:20,49,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2851350,1975,0,2853571,4730
2025-01-30 18:56:20,50,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2633204,1939,59076,2694739,6703
2025-01-30 18:56:20,51,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2441554,1406,0,2443204,4765
2025-01-30 18:56:20,52,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2406289,1589,0,2408104,5425
2025-01-30 18:56:20,53,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2407568,1053,0,2408865,5146
2025-01-30 18:56:20,54,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2391859,1125,0,2393233,4934
2025-01-30 18:56:20,55,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2390977,1317,0,2392567,4592
2025-01-30 18:56:20,56,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2365677,1326,0,2367285,4474
2025-01-30 18:56:20,57,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2368050,2181,0,2370517,5454
2025-01-30 18:56:20,58,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2401037,1215,0,2402475,5186
