Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:38:59,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4593684,4518687,4656976,4762053,4686930,4663607,4675303,4662011,4661212,4678857,4655931,4655931
2025-01-30 18:38:59,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2672497,2150094,2122311,2133882,2080481,2143792,2136412,2127818,2103054,2128984,2179932,2179932
2025-01-30 18:38:59,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2364308,2140207,2136237,2109903,2110410,2113715,2116898,2121394,2126058,2132328,2147145,2147145
2025-01-30 18:38:59,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3950810,3840260,3835666,3840673,3828490,3854629,3869809,3833365,3857374,3874056,3858513,3858513
2025-01-30 18:38:59,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2924529,2860479,2865508,2870661,2868425,2829587,2845892,2849526,2829899,2854740,2859924,2859924
2025-01-30 18:38:59,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2700046,2439494,2389776,2413203,2456298,2412577,2363881,2389216,2435980,2418244,2441871,2441871
2025-01-30 18:38:59,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1687553,1545451,1555635,1519234,1551689,1571948,1557593,1533439,1534708,1559627,1561687,1561687
2025-01-30 18:38:59,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4023611,3960167,3998980,4066767,3996251,4045016,4016102,4011457,4056564,4037351,4021226,4021226
2025-01-30 18:38:59,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3090234,3031850,3014804,3020570,3023805,2990411,3030180,3023493,3022770,3130798,3037890,3037890
2025-01-30 18:38:59,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2963060,2628239,2668863,2674914,2667876,2628174,2700120,2705910,2694079,2723820,2705505,2705505
