Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:38:59,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4624403,4584862,4667895,4769444,4676373,4724484,4796912,4957098,4678537,4730409,4721041,4721041
2025-01-30 18:38:59,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2686774,2167245,2155554,2198184,2095806,2152041,2119980,2119589,2088845,2140420,2192443,2192443
2025-01-30 18:38:59,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2314286,2132675,2139114,2132468,2129002,2096295,2113734,2107028,2119486,2097150,2138123,2138123
2025-01-30 18:39:00,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3951878,3860593,3817276,3815669,3808238,3859012,3840418,3839074,3846343,3850161,3848865,3848865
2025-01-30 18:39:00,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2903477,2799650,2822560,2815160,2844258,2820141,2830077,2834640,2823173,2819078,2831221,2831221
2025-01-30 18:39:00,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2726858,2403851,2382627,2355048,2367379,2374085,2378250,2398437,2360793,2339264,2408658,2408658
2025-01-30 18:39:00,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1662466,1588832,1535934,1562615,1563471,1559165,1539886,1530000,1515346,1523310,1558102,1558102
2025-01-30 18:39:00,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4058766,3988478,4089402,4029553,3994457,4048935,4061532,4029236,4028864,4050810,4038003,4038003
2025-01-30 18:39:00,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3055460,3030555,2998961,2986225,2999176,2993470,2977599,2987562,3000232,3054660,3008390,3008390
2025-01-30 18:39:00,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2943075,2591388,2602781,2588332,2590983,2625022,2677758,2669299,2710442,2699087,2669816,2669816
2025-01-30 18:39:00,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1806591,1631987,1681875,1724581,1717829,1761582,1757492,1764471,1772445,1757339,1737618,1737618
2025-01-30 18:39:00,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3519975,3320377,3305047,3304646,3323428,3301632,3338684,3379743,3388387,3378007,3355992,3355992
2025-01-30 18:39:00,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2399353,2249482,2252063,2360204,2393300,2436861,2458976,2434496,2443739,2472919,2390138,2390138
2025-01-30 18:39:00,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3930074,3869694,3865397,3863785,3912252,3906074,3888648,3915178,3944145,3944569,3903981,3903981
2025-01-30 18:39:00,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2959768,2906439,2924479,2907155,2911665,2953662,2951292,2996196,2996129,2970330,2947710,2947710
2025-01-30 18:39:00,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2924445,2570173,2560111,2560073,2550823,2575709,2546483,2555917,2550164,2545603,2593949,2593949
2025-01-30 18:39:00,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1851622,1655376,1677521,1670080,1647224,1684501,1682130,1676212,1709099,1688445,1694221,1694221
2025-01-30 18:39:00,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3668484,3574537,3581888,3598958,3559043,3604421,3592372,3619828,3646284,3632115,3607792,3607792
2025-01-30 18:39:00,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2751894,2699893,2724991,2724258,2738635,2745497,2749425,2774755,2802402,2816128,2752787,2752787
2025-01-30 18:39:00,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2988933,2590033,2583194,2594289,2605994,2605615,2649323,2632074,2633524,2678678,2656165,2656165
2025-01-30 18:39:00,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1833207,1734711,1709163,1723630,1752244,1789958,1777997,1753723,1750683,1712400,1753771,1753771
2025-01-30 18:39:00,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3775350,3618700,3665343,3666832,3706404,3691650,3668675,3625886,3622393,3656276,3669750,3669750
2025-01-30 18:39:00,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2850927,2782670,2820388,2798243,2804351,2807129,2736956,2820827,2824759,2794444,2804069,2804069
2025-01-30 18:39:00,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2652343,2475074,2414530,2430367,2474089,2482835,2476728,2445824,2444623,2435061,2473146,2473146
2025-01-30 18:39:00,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1745451,1558209,1541750,1601389,1565680,1582774,1591543,1558010,1569616,1608111,1592253,1592253
2025-01-30 18:39:00,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3646274,3558459,3561224,3625480,3597895,3651793,3585508,3582060,3589780,3579159,3597763,3597763
