Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:39:09,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4506710,14713,121342,4643241,2121556
2025-01-30 18:39:09,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4570170,2742,0,4573171,9362
2025-01-30 18:39:09,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4803060,3794,0,4807433,8142
2025-01-30 18:39:09,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4705261,1999,0,4707549,8570
2025-01-30 18:39:09,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4710797,1760,0,4712856,7981
2025-01-30 18:39:09,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4649397,1943,0,4651620,7600
2025-01-30 18:39:09,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4738768,1653,0,4741106,8005
2025-01-30 18:39:09,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4674488,2233,0,4676981,7832
2025-01-30 18:39:09,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4726558,2479,0,4729288,7310
2025-01-30 18:39:09,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4682233,1913,0,4684397,7450
2025-01-30 18:39:09,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2628284,2605,61154,2692372,9702
2025-01-30 18:39:09,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2220920,1884,0,2223046,7296
2025-01-30 18:39:09,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2151655,2132,0,2154040,6803
2025-01-30 18:39:09,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2117121,1235,0,2118610,6832
2025-01-30 18:39:09,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2128711,2205,0,2131245,5856
2025-01-30 18:39:09,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2146970,2425,0,2149689,6325
2025-01-30 18:39:09,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2116298,1864,0,2118434,7278
2025-01-30 18:39:09,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2090378,1371,0,2091997,6437
2025-01-30 18:39:09,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2141876,1650,0,2143784,7599
2025-01-30 18:39:09,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2104672,1995,0,2106924,5942
2025-01-30 18:39:09,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2282488,2375,59320,2344539,18130
2025-01-30 18:39:09,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2105361,1595,0,2107295,7123
2025-01-30 18:39:09,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2115451,1782,0,2117500,6871
2025-01-30 18:39:09,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2131569,2588,0,2134606,6002
2025-01-30 18:39:09,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2113786,1930,0,2116007,5833
2025-01-30 18:39:09,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2134895,2384,0,2137588,6401
2025-01-30 18:39:09,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2104280,2303,0,2106840,6181
2025-01-30 18:39:09,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2131831,1149,0,2133238,28395
2025-01-30 18:39:09,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2160266,2140,0,2162718,6935
2025-01-30 18:39:09,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2142796,1439,0,2144540,6798
2025-01-30 18:39:09,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3882707,2214,63827,3949047,20266
2025-01-30 18:39:09,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3839137,1474,0,3840965,6010
2025-01-30 18:39:09,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3843137,2496,0,3845937,5276
2025-01-30 18:39:09,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3882595,1933,0,3884788,5705
2025-01-30 18:39:09,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3849640,1809,0,3851711,5270
2025-01-30 18:39:09,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3881778,1703,0,3883747,5092
2025-01-30 18:39:09,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3877249,2249,0,3880202,6523
2025-01-30 18:39:09,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3894992,2776,0,3897998,5835
2025-01-30 18:39:09,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3887091,2456,0,3889797,4851
2025-01-30 18:39:09,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3883137,1954,0,3885374,5092
2025-01-30 18:39:09,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2860229,14097,58362,2933026,6777
2025-01-30 18:39:09,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2862768,1857,0,2865333,5591
2025-01-30 18:39:09,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2844281,2674,0,2847220,5531
