Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:56:09,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4577568,4540524,4702952,4675932,4673014,4675828,4648171,4672567,4672253,4656625,4649542,4649542
2025-01-30 18:56:09,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2645470,2179250,2106516,2123732,2112042,2082969,2094383,2125999,2130806,2093016,2169417,2169417
2025-01-30 18:56:09,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2303147,2091411,2108249,2113980,2087170,2083904,2100390,2094724,2084809,2089561,2115733,2115733
2025-01-30 18:56:09,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3892357,3837250,3792208,3829424,3814743,3829491,3808418,3828816,3838438,3821629,3829276,3829276
2025-01-30 18:56:09,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2876920,2848228,2843909,2817912,2847212,2816328,2832267,2852976,2845359,2827320,2840842,2840842
2025-01-30 18:56:10,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2660376,2381717,2375882,2433293,2386329,2378038,2362161,2372356,2339998,2359637,2404978,2404978
2025-01-30 18:56:10,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1655946,1521313,1522406,1543079,1551608,1549885,1541903,1546485,1564010,1557064,1555369,1555369
2025-01-30 18:56:10,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4049641,3953186,3992914,4010326,4015222,4015371,4026460,4029523,4024185,4039970,4015679,4015679
2025-01-30 18:56:10,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3071014,3011254,3058778,3024033,3001239,2977852,3021626,2987121,2989784,3081023,3022371,3022371
2025-01-30 18:56:10,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2901246,2613839,2627388,2582079,2583257,2599816,2636671,2700651,2701287,2724038,2667026,2667026
2025-01-30 18:56:10,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1823600,1640703,1695931,1687413,1731757,1741916,1723062,1720119,1750266,1724257,1723901,1723901
2025-01-30 18:56:10,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3384956,3242907,3270711,3267510,3246652,3369399,3301594,3315335,3322966,3325759,3304778,3304778
