Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:38:58,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4578255,4466923,4632688,4691511,4656232,4734629,4668141,4678114,4673095,4668047,4644763,4644763
2025-01-30 18:38:58,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2607661,2132619,2088414,2076849,2085444,2045535,2102648,2095349,2086860,2064526,2138590,2138590
2025-01-30 18:38:58,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2296866,2100839,2094215,2102634,2069448,2105224,2115599,2090981,2066359,2078909,2112106,2112106
2025-01-30 18:38:58,31,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3897942,3804510,-1,-1,-1,-1,-1,-1,-1,-1,3813853,3813853
2025-01-30 18:38:58,41,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2839614,2803303,2816386,2803973,2789372,2840304,2820624,2833843,2837314,2818858,2820358,2820358
2025-01-30 18:38:58,51,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2597805,2317088,2292114,2357576,2306288,2301048,2320116,2337555,2338731,2323335,2349165,2349165
2025-01-30 18:38:58,61,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1625062,1504846,1513670,1488869,1507197,1526977,1541287,1530882,1517895,1501754,1525843,1525843
2025-01-30 18:38:58,63,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3957133,3848506,-1,-1,-1,-1,-1,-1,-1,-1,3859368,3859368
2025-01-30 18:38:58,65,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2936072,2887363,-1,-1,-1,-1,-1,-1,-1,-1,2892233,2892233
2025-01-30 18:38:58,67,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2648044,2378194,-1,-1,-1,-1,-1,-1,-1,-1,2405179,2405179
2025-01-30 18:38:58,77,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1626747,1517244,1533437,1509581,1577738,1577656,1571998,1591356,1623299,1603471,1573251,1573251
2025-01-30 18:38:58,79,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3396833,3186865,-1,-1,-1,-1,-1,-1,-1,-1,3207861,3207861
2025-01-30 18:38:58,89,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2289087,2162898,2159651,2197316,2184497,2172629,2175925,2188523,2178878,2261564,2197096,2197096
2025-01-30 18:38:58,91,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3944209,3960574,-1,-1,-1,-1,-1,-1,-1,-1,3958937,3958937
2025-01-30 18:38:58,93,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2931069,2927077,-1,-1,-1,-1,-1,-1,-1,-1,2927476,2927476
2025-01-30 18:38:58,95,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2807482,2493797,-1,-1,-1,-1,-1,-1,-1,-1,2525165,2525165
2025-01-30 18:38:58,105,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1703055,1631697,1623089,1635643,1644651,1637294,1666238,1710756,1721380,1727175,1670097,1670097
2025-01-30 18:38:58,107,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3864854,3778120,-1,-1,-1,-1,-1,-1,-1,-1,3786793,3786793
2025-01-30 18:38:58,109,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2795290,2763162,-1,-1,-1,-1,-1,-1,-1,-1,2766374,2766374
2025-01-30 18:38:58,111,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2673208,2484705,-1,-1,-1,-1,-1,-1,-1,-1,2503555,2503555
2025-01-30 18:38:58,121,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1696630,1592175,1586613,1608264,1613113,1654417,1662250,1654821,1653408,1666649,1638833,1638833
2025-01-30 18:38:58,123,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3910892,3899087,-1,-1,-1,-1,-1,-1,-1,-1,3900267,3900267
2025-01-30 18:38:58,125,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2917444,2909490,-1,-1,-1,-1,-1,-1,-1,-1,2910285,2910285
2025-01-30 18:38:58,127,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2648627,2418392,-1,-1,-1,-1,-1,-1,-1,-1,2441415,2441415
2025-01-30 18:38:58,137,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1594208,1522797,1554184,1546842,1558254,1564437,1582005,1626611,1600735,1630392,1578045,1578045
2025-01-30 18:38:59,139,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3907107,3819578,-1,-1,-1,-1,-1,-1,-1,-1,3828330,3828330
2025-01-30 18:38:59,141,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2906615,2855690,-1,-1,-1,-1,-1,-1,-1,-1,2860782,2860782
2025-01-30 18:38:59,143,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2590900,2401209,-1,-1,-1,-1,-1,-1,-1,-1,2420178,2420178
2025-01-30 18:38:59,153,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1603485,1554436,1547594,1553262,1569975,1562254,1551532,1561799,1566709,1555734,1562677,1562677
2025-01-30 18:38:59,155,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,3962275,3833754,-1,-1,-1,-1,-1,-1,-1,-1,3846606,3846606
2025-01-30 18:38:59,157,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2907683,2842745,-1,-1,-1,-1,-1,-1,-1,-1,2849238,2849238
2025-01-30 18:38:59,159,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3091370,2432495,-1,-1,-1,-1,-1,-1,-1,-1,2498382,2498382
2025-01-30 18:38:59,169,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1667108,1542537,1580042,1537936,1543311,1549992,1542378,1557630,1583510,1572502,1567694,1567694
2025-01-30 18:38:59,171,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,3730792,3597770,-1,-1,-1,-1,-1,-1,-1,-1,3611072,3611072
2025-01-30 18:38:59,173,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,2842356,2827358,-1,-1,-1,-1,-1,-1,-1,-1,2828857,2828857
2025-01-30 18:38:59,175,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3095226,2417371,-1,-1,-1,-1,-1,-1,-1,-1,2485156,2485156
2025-01-30 18:38:59,185,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1697686,1561709,1585834,1603390,1630113,1636152,1626650,1648477,1637929,1676204,1630413,1630413
2025-01-30 18:38:59,187,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,10042892,11947736,-1,-1,-1,-1,-1,-1,-1,-1,11757251,11757251
2025-01-30 18:38:59,189,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,5450698,8435883,-1,-1,-1,-1,-1,-1,-1,-1,8137364,8137364
2025-01-30 18:38:59,191,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,8634505,11114610,-1,-1,-1,-1,-1,-1,-1,-1,10866599,10866599
2025-01-30 18:38:59,193,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,5506298,8968786,-1,-1,-1,-1,-1,-1,-1,-1,8622537,8622537
2025-01-30 18:38:59,195,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,5501326,8547775,-1,-1,-1,-1,-1,-1,-1,-1,8243130,8243130
2025-01-30 18:38:59,197,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3747621,7805623,-1,-1,-1,-1,-1,-1,-1,-1,7399822,7399822
2025-01-30 18:38:59,199,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,8910245,11336118,-1,-1,-1,-1,-1,-1,-1,-1,11093530,11093530
2025-01-30 18:38:59,201,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,5622921,9185718,-1,-1,-1,-1,-1,-1,-1,-1,8829438,8829438
2025-01-30 18:38:59,203,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,5324560,8461261,-1,-1,-1,-1,-1,-1,-1,-1,8147590,8147590
2025-01-30 18:38:59,205,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,3643644,7735840,-1,-1,-1,-1,-1,-1,-1,-1,7326620,7326620
