Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:38:59,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4486123,14815,115722,4617143,1956116
2025-01-30 18:38:59,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4513018,2899,0,4516392,11885
2025-01-30 18:38:59,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4633893,3798,0,4638039,8590
2025-01-30 18:38:59,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4701808,3115,0,4705413,9415
2025-01-30 18:38:59,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4654122,3001,0,4657566,7808
2025-01-30 18:38:59,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4659381,3681,0,4663421,9390
2025-01-30 18:38:59,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4668841,3252,0,4672426,9954
2025-01-30 18:38:59,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4665790,3316,0,4669541,8801
2025-01-30 18:38:59,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4686349,2767,0,4689607,8300
2025-01-30 18:38:59,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4681148,2636,0,4684020,7669
2025-01-30 18:38:59,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2603427,2552,61862,2668186,10641
2025-01-30 18:38:59,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2209299,3287,0,2212851,6497
2025-01-30 18:38:59,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2124494,2125,0,2126889,6636
2025-01-30 18:38:59,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2137436,1888,0,2139528,5505
2025-01-30 18:38:59,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2118408,1170,0,2119847,7339
2025-01-30 18:38:59,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2066922,1120,0,2068342,5799
2025-01-30 18:38:59,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2127410,1670,0,2129352,5820
2025-01-30 18:38:59,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2150647,1351,0,2152273,6673
2025-01-30 18:38:59,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2093770,1711,0,2095741,5589
2025-01-30 18:38:59,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2074051,988,0,2075298,6961
2025-01-30 18:38:59,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2277795,1838,59129,2339156,18282
2025-01-30 18:38:59,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2145256,1331,0,2146875,8626
2025-01-30 18:38:59,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2135357,1361,0,2137285,6994
2025-01-30 18:38:59,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2149775,1277,0,2151335,9471
2025-01-30 18:38:59,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2127247,2202,0,2129673,7522
2025-01-30 18:38:59,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2117013,1390,0,2118669,7757
2025-01-30 18:38:59,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2132721,1542,0,2134599,6383
2025-01-30 18:38:59,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2157395,1173,0,2158827,8443
2025-01-30 18:38:59,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2108361,1003,0,2109645,7136
2025-01-30 18:38:59,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2142148,1421,0,2143866,5879
2025-01-30 18:38:59,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3841948,1722,60347,3904370,20100
2025-01-30 18:38:59,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3829021,1566,0,3831218,6822
2025-01-30 18:38:59,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3801994,2030,0,3804271,5309
2025-01-30 18:38:59,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3824015,1840,0,3826132,6673
2025-01-30 18:38:59,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3840507,1947,0,3842711,5928
2025-01-30 18:38:59,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3850919,1565,0,3852790,5869
2025-01-30 18:38:59,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3826296,2065,0,3828611,5519
2025-01-30 18:38:59,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3844033,1560,0,3845818,5624
2025-01-30 18:38:59,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3821279,1909,0,3823433,5519
2025-01-30 18:38:59,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3837078,2410,0,3839745,6854
2025-01-30 18:38:59,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2822808,13170,59881,2896226,7526
2025-01-30 18:38:59,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2856949,4078,0,2861286,5597
2025-01-30 18:38:59,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2820725,3389,0,2824365,5736
2025-01-30 18:38:59,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2867122,2946,0,2870551,5241
2025-01-30 18:38:59,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2839093,3099,0,2842510,6397
2025-01-30 18:38:59,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2853899,2805,0,2857032,6660
2025-01-30 18:38:59,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2839010,2146,0,2841416,6311
2025-01-30 18:38:59,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2832985,2004,0,2835226,5744
2025-01-30 18:38:59,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2845007,2341,0,2847584,4663
2025-01-30 18:38:59,49,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2832404,2193,0,2834897,4977
2025-01-30 18:38:59,50,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2635432,2350,59486,2697757,8095
2025-01-30 18:38:59,51,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2442316,1656,0,2444253,5555
2025-01-30 18:38:59,52,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2397180,1639,0,2399232,5191
2025-01-30 18:38:59,53,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2426253,1421,0,2427940,6661
2025-01-30 18:38:59,54,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2385579,1250,0,2387119,4975
2025-01-30 18:38:59,55,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2395428,1456,0,2397147,4396
2025-01-30 18:38:59,56,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2394493,1716,0,2396568,4278
2025-01-30 18:38:59,57,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2412069,1731,0,2414095,4936
2025-01-30 18:38:59,58,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2406196,2124,0,2408675,4890
2025-01-30 18:38:59,59,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2380808,1561,0,2382637,5124
2025-01-30 18:38:59,60,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1659147,2570,61730,1723814,6912
2025-01-30 18:38:59,61,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1571458,1565,0,1573355,4362
2025-01-30 18:38:59,62,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1541959,1452,0,1543693,4378
2025-01-30 18:38:59,63,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1530589,1031,0,1531856,4610
2025-01-30 18:38:59,64,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1562601,1161,0,1564007,4361
2025-01-30 18:38:59,65,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1559661,1582,0,1561421,4829
2025-01-30 18:38:59,66,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1565842,1317,0,1567352,4546
2025-01-30 18:38:59,67,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1551543,1149,0,1552894,4406
2025-01-30 18:38:59,68,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1541586,1264,0,1543045,4501
2025-01-30 18:38:59,69,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1548286,1015,0,1549504,4683
2025-01-30 18:38:59,70,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3992115,2403,60741,4055675,6657
2025-01-30 18:38:59,71,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3982136,1434,0,3983816,6060
2025-01-30 18:38:59,72,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3972445,51604,0,4024365,5467
2025-01-30 18:38:59,73,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3980552,62033,0,4042842,5822
2025-01-30 18:38:59,74,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3985935,56496,0,4042654,4803
2025-01-30 18:38:59,75,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3977079,74820,0,4052251,5685
2025-01-30 18:38:59,76,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3971081,66130,0,4037435,5498
2025-01-30 18:38:59,77,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3957082,71154,0,4028466,4977
2025-01-30 18:38:59,78,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3929853,85789,0,4015886,4538
2025-01-30 18:38:59,79,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3959634,84103,0,4044063,4744
2025-01-30 18:38:59,80,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3009535,2190,61342,3073395,8211
2025-01-30 18:38:59,81,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3010324,5635,0,3016212,4570
2025-01-30 18:38:59,82,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3007549,5209,0,3013014,5099
2025-01-30 18:38:59,83,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3002236,5041,0,3007501,5375
2025-01-30 18:38:59,84,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3015270,7962,0,3023448,4676
2025-01-30 18:38:59,85,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2983398,6682,0,2990335,5513
2025-01-30 18:38:59,86,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3007505,7662,0,3015406,4980
