Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:39:10,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4621210,4522814,4672529,4706840,4679460,4725927,4733175,4741993,4713783,4686346,4680407,4680407
2025-01-30 18:39:10,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2697148,2191877,2189229,2100604,2149160,2139272,2137288,2110473,2139765,2112500,2196730,2196730
2025-01-30 18:39:10,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2339381,2151041,2132774,2107659,2187360,2153374,2122309,2102499,2123685,2111574,2153165,2153165
2025-01-30 18:39:10,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3932529,3846146,3826012,3843933,3860725,3866086,3885236,3868142,3894357,3889733,3871289,3871289
2025-01-30 18:39:10,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2918291,2847357,2859524,2859503,2854636,2858458,2835522,2882659,2842775,2841304,2860002,2860002
2025-01-30 18:39:10,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2721271,2479840,2440168,2393111,2402319,2377521,2364797,2359745,2369932,2394238,2430293,2430293
2025-01-30 18:39:10,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1693688,1568035,1598485,1587333,1556894,1569658,1593108,1594590,1586679,1553089,1590155,1590155
2025-01-30 18:39:10,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4050873,3972788,4004892,4038384,4022770,4040260,4044010,4020583,4043582,4054277,4029241,4029241
2025-01-30 18:39:10,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3116348,3033446,3013918,3023349,3035228,3025981,3025341,2997753,3001539,3107472,3038037,3038037
2025-01-30 18:39:10,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2984365,2611167,2673428,2635169,2656673,2645564,2716767,2737946,2735601,2720474,2711715,2711715
2025-01-30 18:39:10,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1853711,1650529,1692386,1755765,1777670,1794194,1747739,1788472,1765918,1749828,1757620,1757620
2025-01-30 18:39:10,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3535300,3392621,3370847,3397880,3445881,3439816,3454823,3428462,3513671,3436837,3441613,3441613
2025-01-30 18:39:10,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2458370,2293853,2281350,2419970,2395950,2488151,2473081,2489687,2486770,2504014,2429119,2429119
2025-01-30 18:39:10,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3954228,3872569,3882355,3871084,3890671,3901375,3938152,3913274,3967309,3959778,3915078,3915078
2025-01-30 18:39:10,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2969621,2918320,2926921,2944651,2943818,2966573,2998973,3018147,2996362,2978486,2966186,2966186
2025-01-30 18:39:10,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3008356,2657322,2650464,2631277,2615210,2603487,2610292,2610279,2614724,2656074,2665748,2665748
2025-01-30 18:39:10,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1945375,1741212,1699714,1729889,1737966,1718526,1705686,1745215,1744591,1742695,1751086,1751086
2025-01-30 18:39:10,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3678074,3628001,3618895,3606454,3612062,3644326,3616011,3642997,3718639,3684299,3644975,3644975
2025-01-30 18:39:10,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2779762,2699162,2729236,2747357,2750440,2774113,2761843,2805587,2820478,2844042,2771201,2771201
2025-01-30 18:39:10,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3048544,2716274,2705396,2667529,2685116,2678966,2732260,2717646,2724059,2756182,2743196,2743196
2025-01-30 18:39:10,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1882349,1767381,1761258,1735921,1736527,1796168,1770894,1740310,1778598,1751212,1772061,1772061
2025-01-30 18:39:10,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3764596,3688011,3706328,3727878,3701209,3698754,3746714,3715205,3718883,3718304,3718588,3718588
2025-01-30 18:39:10,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2878010,2802850,2797395,2799317,2820489,2795023,2806451,2800302,2796285,2804810,2810092,2810092
2025-01-30 18:39:10,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2690104,2461413,2449586,2413327,2454810,2445475,2439306,2432870,2445889,2456127,2468890,2468890
2025-01-30 18:39:10,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1783801,1584450,1600439,1595196,1603019,1602909,1588950,1598948,1576676,1644156,1617853,1617853
2025-01-30 18:39:10,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3620122,3598697,3574842,3570838,3600731,3592605,3602905,3595131,3566025,3568407,3589029,3589029
2025-01-30 18:39:11,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2701500,2664950,2658890,2662767,2665760,2692067,2671197,2677384,2675490,2702428,2677243,2677243
2025-01-30 18:39:11,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2748251,2432655,2379359,2377781,2388610,2402710,2360482,2362176,2392561,2425162,2426974,2426974
