Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:56:09,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4600344,4529216,4620994,4660210,4668988,4670155,4664172,4656326,4664495,4668137,4640303,4640303
2025-01-30 18:56:09,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2667324,2130796,2144043,2120184,2081241,2128366,2062743,2106907,2129130,2082654,2165338,2165338
2025-01-30 18:56:09,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2305803,2085871,2110833,2076394,2094513,2093537,2089387,2095488,2091038,2082420,2112528,2112528
2025-01-30 18:56:09,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3901730,3831824,3771661,3812499,3800346,3821627,3819925,3811573,3802929,3834887,3820900,3820900
2025-01-30 18:56:09,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2883152,2811464,2845990,2820033,2831277,2826541,2833042,2813583,2825047,2831680,2832180,2832180
2025-01-30 18:56:09,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2711442,2408445,2389006,2418689,2367491,2368141,2351666,2310593,2372762,2378009,2407623,2407623
2025-01-30 18:56:09,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1658272,1547328,1542910,1539462,1513936,1570069,1532359,1550059,1558522,1529349,1554226,1554226
2025-01-30 18:56:09,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4007920,3955175,3984850,3995607,4034729,4043759,4047280,4007497,3998880,4039282,4011497,4011497
2025-01-30 18:56:09,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3064708,2988683,3001599,2990388,3003866,2989839,2993167,3018475,3002867,3069966,3012355,3012355
2025-01-30 18:56:09,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2929913,2590192,2574117,2581539,2622214,2611487,2659640,2685597,2732555,2688241,2667549,2667549
2025-01-30 18:56:09,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1811640,1617038,1644518,1678618,1726568,1745104,1714748,1723245,1765292,1743845,1717060,1717060
