Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-02-01 21:48:01,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,9239095,30646,86421,9357263,2551174
2025-02-01 21:48:01,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3540192,7005,0,3547589,11742
2025-02-01 21:48:01,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3602586,5742,0,3608733,7955
2025-02-01 21:48:01,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3664249,6288,0,3670970,7167
2025-02-01 21:48:01,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3628660,6136,0,3635568,8300
2025-02-01 21:48:01,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3628998,5892,0,3635391,7212
2025-02-01 21:48:01,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3622123,5550,0,3628094,8235
2025-02-01 21:48:01,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3636905,6969,0,3644455,8996
2025-02-01 21:48:01,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3633237,5497,0,3639206,10430
2025-02-01 21:48:01,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3632695,5648,0,3638746,7608
2025-02-01 21:48:01,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,55982322,3918393,15964242,75865965,19411
2025-02-01 21:48:01,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1827698,6218,0,1834321,11534
2025-02-01 21:48:01,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1963154,5789,48372,2017723,10586
2025-02-01 21:48:01,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1774446,5327,0,1780130,7737
2025-02-01 21:48:01,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1754752,5934,0,1761019,7570
2025-02-01 21:48:01,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1738923,6026,0,1745347,6872
2025-02-01 21:48:01,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1751043,5534,0,1756970,6660
2025-02-01 21:48:01,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1730952,5026,0,1736363,6344
2025-02-01 21:48:01,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1741969,4805,0,1747229,6531
2025-02-01 21:48:01,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1732613,5474,0,1738481,6571
2025-02-01 21:48:01,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1723136,4707,0,1728239,6076
2025-02-01 21:48:01,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1736569,5087,0,1742035,6583
2025-02-01 21:48:01,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3557324,5086,47457,3610308,25940
2025-02-01 21:48:01,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3474224,5464,0,3480066,7628
2025-02-01 21:48:01,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2495179,56746,47620,2599932,8125
2025-02-01 21:48:01,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2510244,6566,0,2517154,6386
2025-02-01 21:48:01,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2159179,5706,47502,2212770,7400
2025-02-01 21:48:01,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2076176,5883,0,2082488,6912
2025-02-01 21:48:01,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2091945,5134,0,2097525,5749
2025-02-01 21:48:01,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2051929,5365,0,2057699,5628
2025-02-01 21:48:01,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2109093,4949,0,2114468,5431
2025-02-01 21:48:01,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2062249,5326,0,2068005,6118
2025-02-01 21:48:01,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2049917,5641,0,2055964,5780
2025-02-01 21:48:01,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2077376,5086,0,2082882,6723
2025-02-01 21:48:01,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2062773,5116,0,2068377,6402
2025-02-01 21:48:01,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2077496,4793,0,2082823,6369
