Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 21:53:20,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,80741578,3564770,3631770,3637426,3661204,3638645,3652566,3649024,3650200,3655074,11348225,11348225
2025-02-01 21:53:20,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2254195,1801906,1794701,1783098,1790292,1772444,1773553,1766746,1785604,1754384,1827692,1827692
2025-02-01 21:53:20,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1980337,1782878,1789658,1768724,1763791,1807810,1767404,1773774,1768815,1751029,1795421,1795421
2025-02-01 21:53:20,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3610621,3486837,3504793,3508460,3487695,3510288,3496818,3479546,3494468,3496947,3507646,3507646
2025-02-01 21:53:20,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2601127,2524027,2534380,2532400,2538754,2532726,2539152,2555962,2542889,2544162,2544557,2544557
2025-02-01 21:53:20,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2356218,2172137,2201771,2196373,2171090,2156498,2163413,2164926,2153205,2144900,2188053,2188053
2025-02-01 21:53:20,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1457010,1371843,1356618,1352553,1372938,1354613,1358723,1349737,1357602,1350357,1368198,1368198
2025-02-01 21:53:20,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3305912,3233495,3293675,3306841,3315149,3320813,3312568,3287061,3302431,3310273,3298821,3298821
2025-02-01 21:53:20,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2475085,2438587,2424561,2433409,2441229,2420851,2428184,2422139,2424462,2504355,2441285,2441285
2025-02-01 21:53:20,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2511100,2193155,2205908,2210141,2233381,2220125,2270947,2266479,2303014,2276223,2269046,2269046
2025-02-01 21:53:20,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1502327,1407669,1398130,1465518,1481979,1459123,1466902,1483232,1474477,1489953,1462930,1462930
2025-02-01 21:53:21,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2977478,2834255,2836256,2873309,2840519,2845007,2853182,2881290,2886101,2884755,2871215,2871215
2025-02-01 21:53:21,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2066519,1934166,1946892,2025975,2033908,2073505,2090492,2099483,2108837,2101394,2048116,2048116
2025-02-01 21:53:21,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3217226,3128455,3135302,3147362,3162155,3173468,3183438,3187000,3194071,3191998,3172046,3172046
2025-02-01 21:53:21,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2380352,2357950,2354399,2360118,2360642,2375226,2381539,2388801,2390075,2398011,2374710,2374710
2025-02-01 21:53:21,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2381754,2151079,2127178,2119244,2135322,2137800,2134798,2111258,2144237,2137227,2157989,2157989
2025-02-01 21:53:21,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1558819,1375971,1372608,1399458,1381856,1411947,1406269,1411991,1423228,1414134,1415628,1415628
2025-02-01 21:53:21,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,2970451,2928296,2936561,2923550,2925890,2955746,2941907,2964060,3005121,2991102,2954268,2954268
2025-02-01 21:53:21,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2270995,2216418,2243403,2254153,2260307,2277742,2283900,2292029,2304056,2325109,2272811,2272811
2025-02-01 21:53:21,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2480169,2258984,2197399,2207285,2205972,2214804,2249350,2219533,2240120,2233130,2250674,2250674
2025-02-01 21:53:21,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1507416,1405848,1410589,1388295,1403558,1439726,1426345,1441273,1436724,1438771,1429854,1429854
2025-02-01 21:53:21,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3994464,3835805,3870873,3845865,3886220,4200785,3847297,3848602,3839161,4197715,3936678,3936678
2025-02-01 21:53:21,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3204650,2912221,2917997,2943881,2920150,2944197,3152838,2918890,2938930,2910834,2976458,2976458
2025-02-01 21:53:21,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2622439,2456396,2463767,2467671,2455039,2450548,2448776,2443667,2451913,3376752,2563696,2563696
2025-02-01 21:53:21,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1612798,1481959,1448704,1431418,1497176,1450049,1480701,1495809,1476624,1534339,1490956,1490956
2025-02-01 21:53:21,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3124871,3067404,3062199,3060938,3066809,3074950,3071307,3054630,3059228,3046889,3068922,3068922
2025-02-01 21:53:21,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2329710,2298286,2290847,2291870,2294223,2292990,2287034,2290236,2302094,2288434,2296572,2296572
2025-02-01 21:53:21,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2289370,2010441,1986070,2003449,1987952,1998618,1982194,2003038,2037912,2031272,2033031,2033031
2025-02-01 21:53:21,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1389658,1273861,1275906,1274193,1285851,1274294,1281270,1279931,1294787,1312508,1294225,1294225
