Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-02-01 22:01:22,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3589105,57717,80643,3728004,2585916
2025-02-01 22:01:22,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3544366,7027,0,3551658,11566
2025-02-01 22:01:22,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3602374,7251,0,3609887,11060
2025-02-01 22:01:22,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3611748,6283,0,3618304,31098
2025-02-01 22:01:22,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3626690,6861,0,3633819,7686
2025-02-01 22:01:22,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3612877,6434,0,3619599,7273
2025-02-01 22:01:22,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3633589,7203,0,3641140,7272
2025-02-01 22:01:22,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3634017,6143,0,3640472,7565
2025-02-01 22:01:22,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3616941,6171,0,3623393,6891
2025-02-01 22:01:22,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3660800,6769,0,3668044,7581
2025-02-01 22:01:22,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2214894,5672,48320,2269310,10693
2025-02-01 22:01:22,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1813997,5117,0,1819384,7631
2025-02-01 22:01:22,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1773454,4893,0,1778761,7472
2025-02-01 22:01:22,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1769453,5091,0,1774842,6808
2025-02-01 22:01:22,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1770800,4649,0,1775752,6810
2025-02-01 22:01:22,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1740367,6117,0,1746786,6688
2025-02-01 22:01:22,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1757907,4962,0,1763163,7470
2025-02-01 22:01:22,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1761191,5136,0,1766638,7133
2025-02-01 22:01:22,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1738603,4806,0,1743786,7020
2025-02-01 22:01:22,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1755190,4868,0,1760360,6722
2025-02-01 22:01:22,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1937408,5069,47934,1990751,11000
2025-02-01 22:01:22,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1734735,5028,0,1740031,8563
2025-02-01 22:01:22,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1776534,4983,0,1781787,8204
2025-02-01 22:01:22,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1735982,4881,0,1741123,7062
2025-02-01 22:01:22,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1724009,4562,0,1728862,6453
2025-02-01 22:01:22,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1762380,4877,0,1767513,6101
2025-02-01 22:01:22,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1734664,4823,0,1739762,7538
2025-02-01 22:01:22,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1732328,4545,0,1737149,6420
2025-02-01 22:01:22,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1733696,4624,0,1738587,6714
2025-02-01 22:01:22,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1734703,4637,0,1739606,5626
2025-02-01 22:01:22,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3518158,5429,47719,3571616,26929
2025-02-01 22:01:22,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3464965,5391,0,3471026,8366
2025-02-01 22:01:22,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3466882,6283,0,3473613,7160
2025-02-01 22:01:22,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3467779,5623,0,3473910,6970
2025-02-01 22:01:22,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3473449,6470,0,3480398,6836
2025-02-01 22:01:22,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3474754,5797,0,3480904,7953
2025-02-01 22:01:22,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3471556,6254,0,3478153,6909
2025-02-01 22:01:22,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3506716,7044,0,3514095,6906
2025-02-01 22:01:22,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3494201,5765,0,3500254,5628
