Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 21:54:23,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3747141,3528756,3606616,3624017,3637851,3631371,3633728,3632769,3635427,3654688,3633236,3633236
2025-02-01 21:54:23,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2266178,1782420,1779365,1773010,1771877,1784938,1796010,1781569,1747136,1770955,1825345,1825345
2025-02-01 21:54:23,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2000546,1756548,1778827,1746682,1750749,1740125,1751788,1738893,1735494,1762715,1776236,1776236
2025-02-01 21:54:23,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3597651,3474220,3465272,3487977,3465632,3472628,3477966,3492824,3482950,3474620,3489174,3489174
2025-02-01 21:54:23,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2574886,2520310,2511941,2521224,2504493,2519455,2516042,2530227,2525144,2540560,2526428,2526428
2025-02-01 21:54:23,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2318108,2128177,2154466,2121145,2165563,2116479,2117670,2135667,2151383,2112428,2152108,2152108
2025-02-01 21:54:23,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1432436,1356458,1350997,1356027,1342151,1338454,1335035,1339271,1351486,1345231,1354754,1354754
2025-02-01 21:54:23,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3288336,3219355,3275646,3267877,3284048,3303127,3275485,3293121,3294825,3295069,3279688,3279688
2025-02-01 21:54:23,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2487434,2425262,2417070,2400531,2410126,2407632,2408809,2412673,2423529,2486977,2428004,2428004
2025-02-01 21:54:23,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2405754,2144946,2157514,2189445,2191338,2209181,2223568,2238901,2259942,2267783,2228836,2228836
2025-02-01 21:54:23,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1483987,1372397,1394925,1425276,1460098,1435195,1458420,1458719,1463817,1452529,1440535,1440535
2025-02-01 21:54:23,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2887402,2787529,2784024,2772106,2778518,2781829,2795786,2808492,2821339,2829873,2804689,2804689
2025-02-01 21:54:23,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1986468,1903141,1881688,1962090,1980965,2012434,2038327,2059359,2042732,2053292,1992048,1992048
2025-02-01 21:54:23,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3189485,3110902,3109221,3113623,3140332,3170487,3191307,3173587,3194321,3191023,3158428,3158428
2025-02-01 21:54:23,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2364671,2335270,2334476,2348110,2357037,2371467,2363926,2379673,2374393,2374776,2360379,2360379
2025-02-01 21:54:23,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2294970,2096097,2090772,2076071,2089953,2098725,2096879,2074979,2080413,2087172,2108602,2108602
2025-02-01 21:54:23,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1508706,1359368,1353612,1379422,1356974,1377956,1380803,1386099,1395550,1395287,1389377,1389377
2025-02-01 21:54:23,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,2969563,2907984,2926121,2916209,2908884,2930419,2916716,2945174,2966192,2975446,2936270,2936270
2025-02-01 21:54:23,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2257286,2228884,2233461,2244936,2233167,2247034,2259550,2290755,2302714,2319066,2261685,2261685
2025-02-01 21:54:23,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2365063,2113059,2111585,2137420,2149686,2143233,2151753,2154816,2157344,2165892,2164984,2164984
2025-02-01 21:54:23,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1469498,1369716,1366565,1360023,1379388,1392561,1400896,1412517,1400250,1413149,1396455,1396455
2025-02-01 21:54:23,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4294748,3820055,3831530,3835798,3831064,4163328,3832355,3824312,3850103,3819824,3910311,3910311
2025-02-01 21:54:23,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3185411,2877219,2872139,2896379,2915148,2899311,2887496,3130813,2899974,2917777,2948166,2948166
2025-02-01 21:54:23,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2533729,2398499,2387289,2544978,2399177,2405397,2398178,2393337,2392168,2387104,2423984,2423984
2025-02-01 21:54:24,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1566389,1425477,1520382,1532575,1429544,1545635,1453745,1541482,1567561,1485194,1506798,1506798
2025-02-01 21:54:24,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3114872,3055840,3047080,3054537,3057637,3051801,3076124,3055711,3031581,3040168,3058534,3058534
2025-02-01 21:54:24,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2320664,2268077,2266900,2263716,2266846,2278132,2273807,2267170,2272258,2277762,2275532,2275532
2025-02-01 21:54:24,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2193695,1972482,1929508,1933841,1958026,1938920,1939117,1963857,1976370,1981077,1978688,1978688
2025-02-01 21:54:24,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1349362,1245032,1267918,1254367,1268273,1260342,1262216,1264925,1284499,1289824,1274675,1274675
2025-02-01 21:54:24,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,2912528,2817571,2804901,2817479,3402664,2803803,2794288,2818653,2813251,2804781,2878991,2878991
2025-02-01 21:54:24,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2198702,2159509,2156508,2172577,2161402,2167398,2175640,2180238,2155562,2154079,2168161,2168161
2025-02-01 21:54:24,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2714197,1911299,1895811,1885481,1901984,1891836,1917245,1909296,1919665,1934716,1988152,1988152
2025-02-01 21:54:24,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1401866,1222784,1220720,1211291,1253293,1238340,1245991,1252194,1261615,1282072,1259016,1259016
2025-02-01 21:54:24,339,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,2791041,2672898,2700489,2671612,2681289,2682766,2683678,2666253,2686750,2669488,2690626,2690626
2025-02-01 21:54:24,349,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,2215051,2179777,2194147,2087739,2187740,2201536,2212358,2188351,2212192,2221864,2190075,2190075
2025-02-01 21:54:24,359,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,2533071,1845020,1857056,1868240,1860956,1849101,1865600,1878132,1878195,1860731,1929610,1929610
2025-02-01 21:54:24,369,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1302582,1185971,1195908,1208447,1200402,1211169,1207787,1214687,1217038,1223441,1216742,1216742
2025-02-01 21:54:24,379,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,7324810,9156936,9117718,9111071,9155699,9147773,9156446,9153746,9142146,9150684,8961702,8961702
2025-02-01 21:54:24,389,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,4269369,7268143,7282630,7309809,7276583,7287570,7281509,7270529,7311927,7310215,6986828,6986828
2025-02-01 21:54:24,399,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,6692319,9068244,9042339,9044752,9035798,9024711,9087798,9064037,9067049,9096409,8822345,8822345
2025-02-01 21:54:24,409,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,4295485,7518450,7487523,7475612,7487061,7472116,7517882,7486969,7467280,7483231,7169160,7169160
2025-02-01 21:54:24,419,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,4347694,7212931,7193553,7193318,7173562,7184484,7192432,7195068,7193191,7183752,6906997,6906997
2025-02-01 21:54:25,429,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,2963709,6594188,6611543,6571944,6570820,6577819,6599798,6575003,6588999,6575384,6222920,6222920
