Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 22:01:58,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,111522250,101168584,117182492,3680979,3652585,3646148,3652233,3656247,3656406,3653690,35547160,35547160
2025-02-01 22:01:58,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2306103,1843317,1801529,1789473,1799670,1786588,1777576,1761893,1787742,1783858,1843774,1843774
2025-02-01 22:01:59,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2021564,1778528,1797404,1792904,1764566,1774640,1761331,1772072,1777572,1780982,1802155,1802155
2025-02-01 22:01:59,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3601621,3500969,3486630,3499827,3495106,3492040,3482814,3495060,3506741,3494517,3505532,3505532
2025-02-01 22:01:59,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2629393,2561968,2521201,2530343,2534053,2525917,2521249,2525309,2537739,2546338,2543350,2543350
2025-02-01 22:01:59,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2354327,2173405,2157832,2184886,2166155,2125794,2140084,2180432,2129924,2164115,2177694,2177694
2025-02-01 22:01:59,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1498445,1370974,1347934,1356121,1366769,1360761,1375550,1359045,1365986,1353671,1375524,1375524
2025-02-01 22:01:59,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3313596,3230117,3349468,3299614,3316870,3306274,3308882,3294351,3299443,3309239,3302785,3302785
2025-02-01 22:01:59,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2482108,2435669,2426874,2426101,2425466,2435322,2420619,2412346,2430792,2504426,2439971,2439971
2025-02-01 22:01:59,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2480587,2190170,2200946,2227569,2227277,2228495,2286668,2276527,2285993,2290891,2269511,2269511
2025-02-01 22:01:59,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1505146,1394337,1427809,1441911,1461812,1467517,1464736,1472279,1465350,1471182,1457207,1457207
2025-02-01 22:01:59,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2920647,2812286,2826969,2805029,2816370,2840993,2817003,2872085,2863784,2870042,2844520,2844520
2025-02-01 22:01:59,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2053336,1919307,1916806,1975225,2022856,2049314,2078936,2086146,2117825,2109219,2032897,2032897
2025-02-01 22:01:59,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3220884,3136822,3168387,3141252,3168838,3178509,3185718,3188744,3208623,3200695,3179846,3179846
