Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:23:47,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7296089,18870,81,7315381,2283766
2024-11-03 20:23:47,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7262400,5338,0,7268029,6411
2024-11-03 20:23:47,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7640376,5093,0,7645843,6042
2024-11-03 20:23:47,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7331140,5225,0,7336688,6076
2024-11-03 20:23:47,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7349474,5246,0,7355004,6179
2024-11-03 20:23:47,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7589524,5221,0,7595023,6291
2024-11-03 20:23:47,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7581714,5266,0,7587268,6063
2024-11-03 20:23:47,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7481173,5463,0,7486924,5806
2024-11-03 20:23:47,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7339305,5266,0,7344849,5960
2024-11-03 20:23:47,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7359506,5197,0,7364984,16220
2024-11-03 20:23:47,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3741139,5768,58,3747330,7188
2024-11-03 20:23:47,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3312446,51271,0,3364042,5771
2024-11-03 20:23:47,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3292424,61951,0,3354643,5881
2024-11-03 20:23:47,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3279512,52901,0,3332715,5759
2024-11-03 20:23:47,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3277159,53167,0,3330634,5654
2024-11-03 20:23:47,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278421,52884,0,3331641,5521
2024-11-03 20:23:47,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278884,52711,0,3331870,5747
2024-11-03 20:23:47,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3253472,52482,0,3306216,5588
2024-11-03 20:23:47,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3269150,52983,0,3322409,5637
2024-11-03 20:23:47,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3269849,52712,0,3322861,5507
