Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:23:46,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7875417,7727354,7649835,7694609,7778122,7490232,7472468,7514966,7476327,7477373,7615669,7615669
2024-11-03 20:23:46,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3765683,3331406,3346760,3331024,3328116,3327292,3319151,3308410,3331726,3310741,3370030,3370030
2024-11-03 20:23:46,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3276858,2956086,2921894,2929783,2933221,2929302,2925619,2913660,2933278,3022710,2974241,2974241
2024-11-03 20:23:46,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6546048,6456119,6470313,6483910,6418525,6458302,6448371,6465726,6408213,6410364,6456588,6456588
2024-11-03 20:23:46,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4400088,4369328,4455224,4496285,4464483,4375064,4446278,4490589,4494874,4363581,4435578,4435578
2024-11-03 20:23:46,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3932884,3781425,3775117,3774686,3783927,3768689,3792114,3781697,3779335,3779840,3794970,3794970
2024-11-03 20:23:46,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2604659,2587732,2584011,2570764,2570158,2570449,2566278,2569525,2571474,2569590,2576463,2576463
2024-11-03 20:23:46,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6486473,6409003,6459699,6435809,6475731,6466758,6444014,6490511,6452688,6402758,6452344,6452344
2024-11-03 20:23:46,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4544194,4526330,4508933,4516381,4502205,4490784,4507788,4502127,4502913,4457907,4505955,4505955
2024-11-03 20:23:46,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3819406,3841861,3867368,3942230,3926636,3932363,4041807,4014263,4019608,4017992,3942353,3942353
2024-11-03 20:23:46,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2653673,2603066,2627725,2681946,2709281,2704648,2711538,2711140,2729498,2718829,2685134,2685134
2024-11-03 20:23:46,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4526428,4259229,4238138,4258628,4242742,4260529,4238295,4325381,4365321,4639953,4335464,4335464
2024-11-03 20:23:46,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3687639,3055545,3044929,3073682,3037582,3146497,3132702,3140126,3131021,3171290,3162101,3162101
2024-11-03 20:23:46,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5876105,5840479,5812502,5857566,5870242,5878592,5886147,5869868,5925738,5931504,5874873,5874873
2024-11-03 20:23:46,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4079998,4093405,4102407,4107505,4115423,4143088,4149930,4151899,4222854,4148882,4131538,4131538
2024-11-03 20:23:47,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3776359,3668819,3673423,3665974,3675888,3657376,3661009,3650047,3690010,3645717,3676461,3676461
