Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 19:59:54,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7344281,19669,88,7364381,2341607
2024-11-03 19:59:54,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7537063,5347,0,7542715,6366
2024-11-03 19:59:54,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7585622,5170,0,7591089,6153
2024-11-03 19:59:54,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7493578,5202,0,7499078,6243
2024-11-03 19:59:54,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7568243,5194,0,7573700,6270
2024-11-03 19:59:54,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7521593,5265,0,7527137,5876
2024-11-03 19:59:54,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7430521,5491,0,7436320,6740
2024-11-03 19:59:54,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7530998,11150,0,7542455,6110
2024-11-03 19:59:54,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7530321,5302,0,7535956,5968
2024-11-03 19:59:54,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7416177,5310,0,7421782,6254
2024-11-03 19:59:54,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3838838,5841,60,3845160,7348
2024-11-03 19:59:54,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3316239,51774,0,3368349,5947
2024-11-03 19:59:54,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3279812,63529,0,3343673,6152
2024-11-03 19:59:54,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3332857,52961,0,3386105,5752
2024-11-03 19:59:54,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3298918,52917,0,3352129,5646
2024-11-03 19:59:54,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3328163,53071,0,3381594,5397
2024-11-03 19:59:54,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3306648,52930,0,3359863,5752
2024-11-03 19:59:54,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3261195,52637,0,3314126,6114
2024-11-03 19:59:54,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3322105,53103,0,3375585,5602
2024-11-03 19:59:54,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3296385,52976,0,3349661,5586
2024-11-03 19:59:54,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3259381,5618,61,3265471,7548
2024-11-03 19:59:54,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2999435,5498,0,3005228,6061
2024-11-03 19:59:54,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2999418,5512,0,3005274,5883
2024-11-03 19:59:54,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2993698,5612,0,2999587,5863
2024-11-03 19:59:54,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3000161,5491,0,3006021,6043
2024-11-03 19:59:54,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2969008,5345,0,2974670,7553
2024-11-03 19:59:54,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2948739,5546,0,2954572,6083
2024-11-03 19:59:54,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2954932,5697,0,2960907,6301
2024-11-03 19:59:54,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2983168,25037,0,3008579,6288
2024-11-03 19:59:54,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3010972,69377,0,3080697,6189
2024-11-03 19:59:54,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6509289,5513,69,6515236,12728
