Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 19:59:05,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7400697,7380762,7594851,7344863,7560093,7381256,7354742,7481685,7736400,7715803,7495115,7495115
2024-11-03 19:59:05,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3754932,3312940,3344737,3323460,3319520,3319508,3307265,3313369,3314960,3306642,3361732,3361732
2024-11-03 19:59:05,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3233258,2928379,2942062,2932685,2936356,2928613,2926419,2910282,2932302,2997001,2966735,2966735
2024-11-03 19:59:05,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6422615,6449061,6438162,6408470,6360910,6369687,6324247,6299078,6402040,6452736,6392699,6392699
2024-11-03 19:59:05,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4385066,4371133,4509355,4554651,4368469,4373968,4515585,4393403,4515192,4414200,4440101,4440101
2024-11-03 19:59:05,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3987198,3798385,3773472,3794248,3813637,3776243,3782816,3799936,3786100,3788185,3810021,3810021
2024-11-03 19:59:05,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2585875,2560380,2562469,2554332,2561852,2564483,2537990,2567132,2554804,2558704,2560801,2560801
2024-11-03 19:59:05,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6420990,6453275,6495918,6497413,6493315,6480375,6452665,6424266,6405646,6442019,6456587,6456587
2024-11-03 19:59:06,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4455818,4412790,4514651,4408924,4411824,4489553,4390519,4511359,4387396,4593694,4457652,4457652
2024-11-03 19:59:06,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3852931,3859516,3871219,3918430,3940049,3934747,3991781,4007619,4021612,4004284,3940218,3940218
