Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:13:36,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7640917,7353565,7542697,7677974,7436019,7450695,7460930,7389654,7500522,7494662,7494763,7494763
2024-11-03 20:13:36,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3817403,3384497,3351648,3354344,3320898,3331809,3344147,3334479,3335176,3343161,3391756,3391756
2024-11-03 20:13:36,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3373280,2943605,3205927,3063030,2951701,2941573,2930257,2946322,2968272,3006226,3033018,3033018
2024-11-03 20:13:36,30,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6523014,-1,-1,-1,-1,-1,-1,-1,-1,-1,6523014,6523014
2024-11-03 20:13:36,31,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4397093,-1,-1,-1,-1,-1,-1,-1,-1,-1,4397093,4397093
2024-11-03 20:13:36,41,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3932839,3750748,3747727,3757202,3734378,3730982,3735689,3722960,3741130,3732418,3758607,3758607
2024-11-03 20:13:36,51,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2572324,2576743,2571931,2561460,2560600,2574164,2573594,2574960,2581976,2583846,2573159,2573159
2024-11-03 20:13:36,52,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6262468,-1,-1,-1,-1,-1,-1,-1,-1,-1,6262468,6262468
2024-11-03 20:13:36,53,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4424201,-1,-1,-1,-1,-1,-1,-1,-1,-1,4424201,4424201
2024-11-03 20:13:36,56,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3816660,3826531,3845581,-1,-1,-1,-1,-1,-1,-1,3834116,3834116
2024-11-03 20:13:36,66,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2646902,2650699,2637961,2645243,2641250,2636161,2624132,2622822,2619244,2619587,2634400,2634400
2024-11-03 20:13:36,67,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4323969,-1,-1,-1,-1,-1,-1,-1,-1,-1,4323969,4323969
2024-11-03 20:13:36,77,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2927423,2961504,2937852,2929357,2938055,2963084,2954869,2964996,2917350,2933093,2942758,2942758
2024-11-03 20:13:36,78,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6421780,-1,-1,-1,-1,-1,-1,-1,-1,-1,6421780,6421780
2024-11-03 20:13:36,79,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4566905,-1,-1,-1,-1,-1,-1,-1,-1,-1,4566905,4566905
2024-11-03 20:13:36,80,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3852806,-1,-1,-1,-1,-1,-1,-1,-1,-1,3852806,3852806
2024-11-03 20:13:36,90,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2658428,2659001,2669428,2664490,2658615,2667109,2655831,2656638,2724670,2854867,2686907,2686907
2024-11-03 20:13:36,91,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6295139,-1,-1,-1,-1,-1,-1,-1,-1,-1,6295139,6295139
2024-11-03 20:13:36,92,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4581998,-1,-1,-1,-1,-1,-1,-1,-1,-1,4581998,4581998
2024-11-03 20:13:36,93,LinkedCells,1.000000,lc_c18,none,SoA,disabled,4119392,-1,-1,-1,-1,-1,-1,-1,-1,-1,4119392,4119392
2024-11-03 20:13:36,103,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2932599,2926156,2997870,2999296,3026981,3030266,3082686,3031149,3039752,3107552,3017430,3017430
2024-11-03 20:13:36,104,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5921040,-1,-1,-1,-1,-1,-1,-1,-1,-1,5921040,5921040
2024-11-03 20:13:36,105,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4264680,-1,-1,-1,-1,-1,-1,-1,-1,-1,4264680,4264680
2024-11-03 20:13:36,115,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3654113,3521576,3509955,3519293,3529014,3529736,3515309,3505698,3503668,3525103,3531345,3531345
2024-11-03 20:13:36,125,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2359597,2266631,2260534,2249488,2257289,2238062,2237274,2328361,2332613,2403377,2293321,2293321
2024-11-03 20:13:36,126,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5814866,-1,-1,-1,-1,-1,-1,-1,-1,-1,5814866,5814866
2024-11-03 20:13:36,127,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3968661,-1,-1,-1,-1,-1,-1,-1,-1,-1,3968661,3968661
2024-11-03 20:13:36,128,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3565547,-1,-1,-1,-1,-1,-1,-1,-1,-1,3565547,3565547
2024-11-03 20:13:36,138,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2197651,2222765,2221620,2217992,2241831,2283619,2299256,2314616,2323015,2377563,2269992,2269992
2024-11-03 20:13:36,139,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5712887,-1,-1,-1,-1,-1,-1,-1,-1,-1,5712887,5712887
2024-11-03 20:13:37,140,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3949150,-1,-1,-1,-1,-1,-1,-1,-1,-1,3949150,3949150
2024-11-03 20:13:37,141,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3991770,-1,-1,-1,-1,-1,-1,-1,-1,-1,3991770,3991770
2024-11-03 20:13:37,151,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2216981,2243329,2222776,2252210,2270588,2278832,2279853,2284134,2291025,2286988,2262671,2262671
2024-11-03 20:13:37,152,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,5619556,-1,-1,-1,-1,-1,-1,-1,-1,-1,5619556,5619556
2024-11-03 20:13:37,153,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3956732,-1,-1,-1,-1,-1,-1,-1,-1,-1,3956732,3956732
2024-11-03 20:13:37,154,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3830824,-1,-1,-1,-1,-1,-1,-1,-1,-1,3830824,3830824
2024-11-03 20:13:37,164,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2137400,2134443,2141014,2130700,2134648,2141208,2138317,2130080,2136359,2118466,2134263,2134263
2024-11-03 20:13:37,165,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,11620020,-1,-1,-1,-1,-1,-1,-1,-1,-1,11620020,11620020
2024-11-03 20:13:37,166,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,17448813,-1,-1,-1,-1,-1,-1,-1,-1,-1,17448813,17448813
2024-11-03 20:13:37,167,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,20797459,-1,-1,-1,-1,-1,-1,-1,-1,-1,20797459,20797459
