Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:14:26,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7429541,20629,84,7450621,2461462
2024-11-03 20:14:26,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7809962,6167,0,7816507,18701
2024-11-03 20:14:26,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7430990,6648,0,7437935,7357
2024-11-03 20:14:26,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7424717,6009,0,7431048,8615
2024-11-03 20:14:26,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7555244,6124,0,7561694,8108
2024-11-03 20:14:26,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7767955,5998,0,7774253,8082
2024-11-03 20:14:26,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7740733,6017,0,7747064,8829
2024-11-03 20:14:26,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7650561,5568,0,7656421,18225
2024-11-03 20:14:26,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7472746,5716,0,7478735,7283
2024-11-03 20:14:26,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7454227,5757,0,7460293,6716
2024-11-03 20:14:26,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3891635,6347,64,3898404,8952
2024-11-03 20:14:26,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3333643,54961,0,3388937,7455
2024-11-03 20:14:26,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3300780,66128,0,3367204,6801
2024-11-03 20:14:26,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3321314,54191,0,3375815,7023
2024-11-03 20:14:26,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3324055,53493,0,3377901,7025
2024-11-03 20:14:26,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3309983,53478,0,3363782,7169
2024-11-03 20:14:26,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3306836,54019,0,3361196,6676
2024-11-03 20:14:26,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3418884,56180,0,3475365,8734
2024-11-03 20:14:26,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3337159,57563,0,3395186,8279
2024-11-03 20:14:27,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3323451,54523,0,3378323,16922
2024-11-03 20:14:27,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3283417,5644,60,3289504,9131
2024-11-03 20:14:27,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2947024,5418,0,2952768,6674
2024-11-03 20:14:27,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2948582,5637,0,2954501,6254
2024-11-03 20:14:27,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3020056,5886,0,3026267,7587
2024-11-03 20:14:27,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2961095,5395,0,2966782,8152
2024-11-03 20:14:27,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2968604,5332,0,2974261,6720
2024-11-03 20:14:27,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2999676,5610,0,3005600,6902
2024-11-03 20:14:27,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2967006,5519,0,2972843,7962
2024-11-03 20:14:27,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2964199,26583,0,2991081,7810
2024-11-03 20:14:27,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2975492,71648,0,3047465,7537
2024-11-03 20:14:27,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6431233,5755,65,6437419,18097
2024-11-03 20:14:27,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6405244,10620,0,6416184,6790
2024-11-03 20:14:27,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6326455,10919,0,6337682,6642
2024-11-03 20:14:27,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6422736,10346,0,6433384,7047
2024-11-03 20:14:27,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6331164,10832,0,6342284,6297
2024-11-03 20:14:27,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6426694,10589,0,6437602,6683
2024-11-03 20:14:27,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6461875,10145,0,6472332,6663
2024-11-03 20:14:27,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6360774,10416,0,6371486,7063
2024-11-03 20:14:27,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6450912,10418,0,6461628,7067
2024-11-03 20:14:27,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6349473,11183,0,6360958,7140
2024-11-03 20:14:27,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4372938,16720,67,4390133,8808
2024-11-03 20:14:27,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4373910,5916,0,4380161,6332
2024-11-03 20:14:27,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4403415,5404,0,4409134,6766
2024-11-03 20:14:27,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4473610,5308,0,4479232,6691
2024-11-03 20:14:27,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4503604,5879,0,4509764,16729
2024-11-03 20:14:27,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4459362,5464,0,4465151,7291
2024-11-03 20:14:27,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4376553,5471,0,4382330,6800
2024-11-03 20:14:27,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4366406,5525,0,4372246,6963
2024-11-03 20:14:27,48,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4373384,5559,0,4379266,8077
2024-11-03 20:14:27,49,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4363879,5363,0,4369532,6939
2024-11-03 20:14:27,50,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4071799,6091,61,4078316,8157
2024-11-03 20:14:27,51,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3802110,5221,0,3807678,5928
2024-11-03 20:14:27,52,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3791785,5109,0,3797170,5198
2024-11-03 20:14:27,53,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3821802,5243,0,3827352,5273
2024-11-03 20:14:27,54,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3799663,5162,0,3805154,5763
2024-11-03 20:14:27,55,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3817751,5215,0,3823260,5472
2024-11-03 20:14:27,56,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3803917,5274,0,3809492,5439
2024-11-03 20:14:27,57,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3828150,5154,0,3833576,5511
2024-11-03 20:14:27,58,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3795092,5137,0,3800500,5662
2024-11-03 20:14:27,59,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3823967,5176,0,3829467,5254
2024-11-03 20:14:27,60,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2627053,6083,60,2633511,6967
2024-11-03 20:14:27,61,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2590661,5071,0,2596045,14894
2024-11-03 20:14:27,62,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2593515,5243,0,2599080,5400
2024-11-03 20:14:27,63,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2589439,5080,0,2594828,5643
2024-11-03 20:14:27,64,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2601840,5217,0,2607355,5521
2024-11-03 20:14:27,65,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2583788,5008,0,2589102,5074
2024-11-03 20:14:27,66,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2571424,5094,0,2576828,5280
2024-11-03 20:14:27,67,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2594438,5268,0,2600008,5608
2024-11-03 20:14:27,68,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2592958,5194,0,2598482,5524
2024-11-03 20:14:27,69,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2579040,5305,0,2584644,5351
2024-11-03 20:14:27,70,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6518232,5978,61,6524617,7099
2024-11-03 20:14:27,71,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4436354,5655,64,4442398,7966
2024-11-03 20:14:27,72,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4566063,5455,0,4571841,5913
2024-11-03 20:14:27,73,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4427499,5103,0,4432922,16547
2024-11-03 20:14:27,74,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4416678,5424,0,4422447,6892
2024-11-03 20:14:27,75,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4424955,5216,0,4430461,5536
2024-11-03 20:14:27,76,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4434579,5027,0,4439897,5499
2024-11-03 20:14:27,77,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4411857,5233,0,4417395,5506
2024-11-03 20:14:27,78,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4505361,5064,0,4510707,5495
2024-11-03 20:14:27,79,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4405714,5701,0,4411726,7019
2024-11-03 20:14:27,80,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4403801,5244,0,4409364,6208
2024-11-03 20:14:27,81,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3937485,6340,60,3944238,7612
2024-11-03 20:14:27,82,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3810697,5092,0,3816099,5231
2024-11-03 20:14:27,83,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3826217,4976,0,3831492,4775
2024-11-03 20:14:27,84,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3844148,5049,0,3849531,5325
2024-11-03 20:14:27,85,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3847874,5195,0,3853390,5500
2024-11-03 20:14:27,86,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3817280,5066,0,3822660,5366
2024-11-03 20:14:27,87,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3837408,5372,0,3843059,6161
2024-11-03 20:14:27,88,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3834090,5309,0,3839706,5718
2024-11-03 20:14:27,89,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3859318,78994,0,3938641,5451
2024-11-03 20:14:27,90,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3814688,218612,0,4033626,5976
2024-11-03 20:14:27,91,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2648031,6187,60,2654636,7045
2024-11-03 20:14:27,92,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2639031,35185,0,2674527,5555
2024-11-03 20:14:27,93,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2627428,95870,0,2723582,5023
2024-11-03 20:14:27,94,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2640304,100047,0,2740641,4928
2024-11-03 20:14:27,95,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2636068,112970,0,2749332,5076
2024-11-03 20:14:27,96,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2637523,189930,0,2827768,5924
2024-11-03 20:14:27,97,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2625612,199351,0,2825319,5124
2024-11-03 20:14:27,98,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2610190,224805,0,2835297,5649
2024-11-03 20:14:27,99,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2614218,218114,0,2832660,5266
2024-11-03 20:14:27,100,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2692041,223729,0,2916096,7131
2024-11-03 20:14:27,101,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4368249,8702,97,4377399,34138
2024-11-03 20:14:27,102,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4308950,36176,0,4345457,9454
2024-11-03 20:14:27,103,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4294648,95097,0,4390028,8540
2024-11-03 20:14:27,104,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4341791,111101,0,4453197,18167
2024-11-03 20:14:27,105,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4293903,112472,0,4406644,8447
2024-11-03 20:14:27,106,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4271846,120096,0,4392241,18457
2024-11-03 20:14:27,107,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4283107,118727,0,4402165,18185
2024-11-03 20:14:27,108,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4385352,130499,0,4516261,9071
2024-11-03 20:14:27,109,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4293741,128287,0,4422365,9504
2024-11-03 20:14:27,110,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4265088,137667,0,4403060,8436
2024-11-03 20:14:27,111,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3281905,6197,62,3288542,9804
2024-11-03 20:14:27,112,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3007260,5648,0,3013277,8730
2024-11-03 20:14:27,113,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2947408,5449,0,2953101,8177
2024-11-03 20:14:27,114,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2967548,5477,0,2973370,8317
2024-11-03 20:14:27,115,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3022946,20163,0,3043415,8023
2024-11-03 20:14:27,116,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2982183,39598,0,3022140,7660
2024-11-03 20:14:27,117,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2952070,92322,0,3044715,8213
2024-11-03 20:14:27,118,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2962367,91233,0,3054008,7610
2024-11-03 20:14:27,119,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2944665,90867,0,3035840,8287
2024-11-03 20:14:27,120,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2944798,90101,0,3035251,8039
2024-11-03 20:14:27,121,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5816424,6382,85,5823236,7761
2024-11-03 20:14:27,122,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5685229,5473,0,5690963,5554
2024-11-03 20:14:27,123,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5744909,118162,0,5863541,5134
2024-11-03 20:14:27,124,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5727745,138086,0,5866145,5666
2024-11-03 20:14:27,125,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5640517,223601,0,5864407,16182
2024-11-03 20:14:27,126,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5639860,256955,0,5897087,5980
2024-11-03 20:14:27,127,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5585180,256346,0,5841788,5473
2024-11-03 20:14:27,128,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5628871,281112,0,5910248,5551
2024-11-03 20:14:27,129,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5675178,280475,0,5955934,6119
2024-11-03 20:14:27,130,true,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5593126,306100,0,5899545,6203
2024-11-03 20:14:27,131,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4102524,6598,60,4109524,7177
2024-11-03 20:14:27,132,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4099749,20916,0,4120969,5334
2024-11-03 20:14:27,133,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4107358,34070,0,4141746,5728
2024-11-03 20:14:27,134,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4092625,92898,0,4185836,6505
2024-11-03 20:14:27,135,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4062516,115347,0,4178218,5445
2024-11-03 20:14:27,136,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4083587,129317,0,4213399,5694
2024-11-03 20:14:27,137,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4063164,117245,0,4190687,5560
2024-11-03 20:14:27,138,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4061897,185143,0,4247342,5897
2024-11-03 20:14:27,139,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4117304,184599,0,4302188,5814
2024-11-03 20:14:27,140,true,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4042357,205757,0,4248413,6257
2024-11-03 20:14:27,141,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4067411,9826,60,4077620,7960
2024-11-03 20:14:27,142,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3735817,23980,0,3760090,5451
2024-11-03 20:14:27,143,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3729445,35519,0,3765209,5240
2024-11-03 20:14:27,144,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3754813,35929,0,3791027,5567
2024-11-03 20:14:27,145,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3704223,84154,0,3788654,5103
2024-11-03 20:14:27,146,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3687193,104029,0,3791517,5059
2024-11-03 20:14:27,147,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3678529,119887,0,3798733,5157
2024-11-03 20:14:27,148,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3682054,113356,0,3795717,5151
2024-11-03 20:14:27,149,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3693283,117220,0,3810773,5065
2024-11-03 20:14:27,150,true,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3711442,125825,0,3837553,5114
2024-11-03 20:14:27,151,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2570509,6071,59,2576963,6954
2024-11-03 20:14:27,152,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2559645,19102,0,2579048,15474
2024-11-03 20:14:27,153,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2556423,16463,0,2573200,5241
2024-11-03 20:14:27,154,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2560503,29123,0,2589906,4987
2024-11-03 20:14:27,155,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2544958,27599,0,2572848,5234
2024-11-03 20:14:27,156,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2550000,27367,0,2577700,5540
2024-11-03 20:14:27,157,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2541011,27075,0,2568405,15491
2024-11-03 20:14:27,158,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2555289,27408,0,2582992,4869
2024-11-03 20:14:27,159,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2545397,27553,0,2573240,5186
2024-11-03 20:14:27,160,true,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2533236,27754,0,2561272,5122
2024-11-03 20:14:27,161,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5631737,6423,85,5638573,31719
2024-11-03 20:14:27,162,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5682680,5779,0,5688783,10407
2024-11-03 20:14:27,163,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5682623,5344,0,5688270,9735
2024-11-03 20:14:27,164,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5679972,5486,0,5685756,9828
2024-11-03 20:14:27,165,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5659894,19149,0,5679344,10198
2024-11-03 20:14:27,166,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5679132,17302,0,5696757,9994
2024-11-03 20:14:27,167,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5667065,28760,0,5696142,11403
2024-11-03 20:14:27,168,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5548811,27091,0,5576210,10364
2024-11-03 20:14:27,169,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5561846,26882,0,5589050,10738
2024-11-03 20:14:27,170,true,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5625506,38886,0,5674750,9968
2024-11-03 20:14:27,171,true,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3982616,5964,65,3989015,12111
