Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:14:51,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7780952,19491,90,7800923,2301829
2024-11-03 20:14:51,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7275106,5327,0,7280725,6262
2024-11-03 20:14:51,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7726952,5327,0,7732544,5995
2024-11-03 20:14:51,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7511699,5167,0,7517138,5953
2024-11-03 20:14:51,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7734505,5182,0,7739944,6033
2024-11-03 20:14:51,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7527563,5144,0,7532953,6040
2024-11-03 20:14:51,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7382891,5529,0,7388715,6851
2024-11-03 20:14:51,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7661549,5359,0,7667218,6111
2024-11-03 20:14:51,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7464829,5244,0,7470349,5846
2024-11-03 20:14:51,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7364164,5186,0,7369617,6036
2024-11-03 20:14:51,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3722865,5541,57,3728783,7272
2024-11-03 20:14:51,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3293211,52269,0,3345789,5760
2024-11-03 20:14:51,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3289839,62310,0,3352435,5751
2024-11-03 20:14:51,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3286665,53336,0,3340281,5662
2024-11-03 20:14:52,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3262989,53212,0,3316476,15851
2024-11-03 20:14:52,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3270960,53230,0,3324466,5551
2024-11-03 20:14:52,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3277375,53416,0,3331109,5443
2024-11-03 20:14:52,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3269041,52914,0,3322222,5564
2024-11-03 20:14:52,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3271489,53247,0,3325030,5523
2024-11-03 20:14:52,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281157,53272,0,3334731,5473
2024-11-03 20:14:52,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3208955,5637,60,3215025,7132
2024-11-03 20:14:52,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2967878,5317,0,2973497,6099
2024-11-03 20:14:52,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2962733,5495,0,2968536,16172
2024-11-03 20:14:52,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2979851,5155,0,2985319,5966
2024-11-03 20:14:52,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2974620,5309,0,2980303,15994
2024-11-03 20:14:52,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2989023,5410,0,2994730,5963
2024-11-03 20:14:52,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2981755,5144,0,2987231,6200
2024-11-03 20:14:52,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2977918,5231,0,2983478,5901
2024-11-03 20:14:52,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2966792,25345,0,2992452,15973
2024-11-03 20:14:52,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3011915,72311,0,3084574,6248
2024-11-03 20:14:52,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6468328,5599,57,6474309,10729
2024-11-03 20:14:52,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6457743,9607,0,6467639,5613
2024-11-03 20:14:52,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6232725,9887,0,6242933,5720
2024-11-03 20:14:52,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6403124,9315,0,6412686,5497
2024-11-03 20:14:52,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6431366,9342,0,6440965,5635
2024-11-03 20:14:52,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6395720,9383,0,6405355,5426
2024-11-03 20:14:52,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6382664,9374,0,6392303,5257
2024-11-03 20:14:52,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6434503,9462,0,6444226,5204
2024-11-03 20:14:52,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6429857,9284,0,6439395,5246
2024-11-03 20:14:52,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6408365,9239,0,6417863,5343
2024-11-03 20:14:52,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4362851,12711,71,4375976,6451
2024-11-03 20:14:52,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4434813,5243,0,4440327,5370
2024-11-03 20:14:52,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4353862,5129,0,4359263,5229
2024-11-03 20:14:52,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4435409,5226,0,4440900,5095
2024-11-03 20:14:52,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4451549,5112,0,4456942,5256
2024-11-03 20:14:52,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4375048,5155,0,4380487,5191
2024-11-03 20:14:52,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4343704,4935,0,4348879,5119
2024-11-03 20:14:52,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4341095,5053,0,4346382,5291
2024-11-03 20:14:52,48,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4476890,5097,0,4482230,5177
2024-11-03 20:14:52,49,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4346013,5057,0,4351325,5180
2024-11-03 20:14:52,50,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3941119,5425,70,3946946,6300
2024-11-03 20:14:52,51,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3741511,5058,0,3746860,5120
2024-11-03 20:14:52,52,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3769064,5211,0,3774539,5345
2024-11-03 20:14:52,53,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3766903,5180,0,3772352,5157
2024-11-03 20:14:52,54,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3756715,5098,0,3762090,4963
2024-11-03 20:14:52,55,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3756151,5310,0,3761736,5243
2024-11-03 20:14:52,56,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3762287,5137,0,3767729,5086
2024-11-03 20:14:52,57,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3761249,4958,0,3766474,4929
2024-11-03 20:14:52,58,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3774416,5154,0,3779822,5143
2024-11-03 20:14:52,59,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3761351,5192,0,3766874,5121
2024-11-03 20:14:52,60,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2588441,5548,51,2594378,6402
2024-11-03 20:14:52,61,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2587606,5082,0,2592994,5210
2024-11-03 20:14:52,62,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2575792,5003,0,2581075,5203
2024-11-03 20:14:52,63,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2685826,5333,0,2691570,5206
2024-11-03 20:14:52,64,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2622868,5412,0,2628711,5309
2024-11-03 20:14:52,65,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2589034,5341,0,2594677,15691
2024-11-03 20:14:52,66,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2566752,5101,0,2572147,5024
2024-11-03 20:14:52,67,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2594842,5181,0,2600378,5125
2024-11-03 20:14:52,68,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2575710,5040,0,2581047,5255
2024-11-03 20:14:52,69,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2569158,4938,0,2574386,5054
2024-11-03 20:14:52,70,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6456279,5366,60,6462023,6458
2024-11-03 20:14:52,71,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6464160,5289,0,6469725,5090
2024-11-03 20:14:52,72,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6505922,5503,0,6511674,5206
2024-11-03 20:14:52,73,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6464318,5223,0,6469817,5137
2024-11-03 20:14:52,74,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6485248,5156,0,6490653,5170
2024-11-03 20:14:52,75,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6451542,5186,0,6456990,5140
2024-11-03 20:14:52,76,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6497117,5157,0,6502561,4985
2024-11-03 20:14:52,77,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6450506,5245,0,6456001,5084
2024-11-03 20:14:52,78,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6432379,5218,0,6437851,5010
2024-11-03 20:14:52,79,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6420575,5465,0,6426321,5245
2024-11-03 20:14:52,80,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4446463,5392,51,4452220,6338
2024-11-03 20:14:52,81,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4525634,5214,0,4531116,5077
2024-11-03 20:14:52,82,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4415569,5000,0,4420831,5164
2024-11-03 20:14:52,83,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4487599,5019,0,4492883,5079
2024-11-03 20:14:52,84,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4390960,4918,0,4396141,5175
2024-11-03 20:14:52,85,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4391849,5076,0,4397180,5219
2024-11-03 20:14:52,86,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4453941,5005,0,4459205,15296
2024-11-03 20:14:52,87,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4531043,5083,0,4536381,4814
2024-11-03 20:14:52,88,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4389212,5065,0,4394543,4998
2024-11-03 20:14:52,89,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4380254,79922,0,4460454,5069
2024-11-03 20:14:52,90,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3834484,5439,72,3840314,6316
2024-11-03 20:14:52,91,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3794513,35774,0,3830562,5196
2024-11-03 20:14:52,92,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3919298,60737,0,3980397,11505
2024-11-03 20:14:52,93,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3815045,122583,0,3937948,5303
2024-11-03 20:14:52,94,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3785485,132502,0,3918252,5041
2024-11-03 20:14:52,95,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3790880,136912,0,3928071,5168
2024-11-03 20:14:52,96,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3765091,216575,0,3981933,4889
2024-11-03 20:14:52,97,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3770698,235064,0,4006042,5034
2024-11-03 20:14:52,98,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3760675,249189,0,4010144,5086
2024-11-03 20:14:52,99,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3769251,247057,0,4016589,5112
2024-11-03 20:14:52,100,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2650358,5768,63,2656511,6669
2024-11-03 20:14:52,101,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2595085,5089,0,2600488,4918
2024-11-03 20:14:52,102,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2594936,34720,0,2629956,4909
2024-11-03 20:14:52,103,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2598733,95938,0,2694939,4961
2024-11-03 20:14:52,104,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2599193,113405,0,2712882,4996
2024-11-03 20:14:52,105,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2587714,112485,0,2700487,4941
2024-11-03 20:14:52,106,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2586050,128968,0,2715302,4899
2024-11-03 20:14:52,107,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2604543,119766,0,2724598,4905
2024-11-03 20:14:52,108,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2594180,131907,0,2726377,4702
2024-11-03 20:14:52,109,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2591218,130400,0,2721907,4877
2024-11-03 20:14:52,110,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4474665,5844,90,4481033,32766
2024-11-03 20:14:52,111,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4221733,5389,0,4227451,7741
2024-11-03 20:14:52,112,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4243008,6464,0,4249806,7505
