Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 00:49:40,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,69465712,58224292,78826592,70415286,64400224,75127889,73990554,62547336,60936988,59308763,67324363,67324363
2024-11-03 00:49:41,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,64887478,57624643,50379678,49217571,60406198,55282900,62050704,54581924,62187587,50783325,56740200,56740200
2024-11-03 00:49:42,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,60899726,68080194,52320836,61636119,66270562,56178927,51332817,44948349,48027875,43814207,55350960,55350960
2024-11-03 00:49:42,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,45894965,44598268,53620591,51036308,49455343,45661311,46002288,49658269,45818411,47344149,47908989,47908989
2024-11-03 00:49:43,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,31541509,31223323,34074373,32905362,33832013,33120510,30355213,33479192,32005411,33425701,32596260,32596260
2024-11-03 00:49:43,53,LinkedCells,1.000000,lc_c04,none,SoA,disabled,43727934,43263573,41291625,47172634,-1,-1,-1,-1,-1,-1,43891142,43891142
2024-11-03 00:49:43,63,LinkedCells,1.000000,lc_c04,none,SoA,enabled,37404354,35472632,38517961,29047238,30989971,27547896,32682167,28935004,28404094,27591560,31659287,31659287
2024-11-03 00:49:44,64,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,44454575,-1,-1,-1,-1,-1,-1,-1,-1,-1,44454575,44454575
2024-11-03 00:49:44,74,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,32318405,30475312,31068079,31827342,30434404,30431598,31461245,34081909,31060616,32685934,31584483,31584483
2024-11-03 00:49:44,75,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,48396320,-1,-1,-1,-1,-1,-1,-1,-1,-1,48396320,48396320
2024-11-03 00:49:45,85,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,34450399,31081784,30442912,28645113,28438520,31824085,32153221,33668353,30560704,29374268,31063935,31063935
2024-11-03 00:49:45,86,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,48387413,-1,-1,-1,-1,-1,-1,-1,-1,-1,48387413,48387413
2024-11-03 00:49:45,87,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,42862460,-1,-1,-1,-1,-1,-1,-1,-1,-1,42862460,42862460
2024-11-03 00:49:45,89,LinkedCells,1.000000,lc_c08,none,AoS,disabled,41115730,41713515,-1,-1,-1,-1,-1,-1,-1,-1,41653736,41653736
2024-11-03 00:49:45,99,LinkedCells,1.000000,lc_c08,none,AoS,enabled,33643526,31133955,31646287,33018496,35078001,31121409,32800972,32819992,39789753,40328265,34138065,34138065
2024-11-03 00:49:45,101,LinkedCells,1.000000,lc_c08,none,SoA,disabled,41223269,42888739,-1,-1,-1,-1,-1,-1,-1,-1,42722192,42722192
2024-11-03 00:49:46,111,LinkedCells,1.000000,lc_c08,none,SoA,enabled,28219647,29177233,29414799,33200048,29041794,31577549,29703119,28837221,28301613,28778037,29625105,29625105
2024-11-03 00:49:46,113,LinkedCells,1.000000,lc_c18,none,AoS,disabled,38644518,41888993,-1,-1,-1,-1,-1,-1,-1,-1,41564545,41564545
2024-11-03 00:49:46,123,LinkedCells,1.000000,lc_c18,none,AoS,enabled,28904430,29573452,28832170,30150577,33194257,35266298,31611405,32952253,33697261,29078513,31326060,31326060
2024-11-03 00:49:47,124,LinkedCells,1.000000,lc_c18,none,SoA,disabled,44232583,-1,-1,-1,-1,-1,-1,-1,-1,-1,44232583,44232583
2024-11-03 00:49:47,134,LinkedCells,1.000000,lc_c18,none,SoA,enabled,33084416,35085811,28824548,31611846,30299481,33015896,29540679,29511503,28646887,30363343,30998441,30998441
2024-11-03 00:49:47,137,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,38093833,36949080,43080076,-1,-1,-1,-1,-1,-1,-1,39822503,39822503
2024-11-03 00:49:48,147,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,30923017,29241516,36435006,37069632,29582499,29068823,32682908,28566502,28576721,28688897,31083551,31083551
2024-11-03 00:49:48,149,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,38366336,43934984,-1,-1,-1,-1,-1,-1,-1,-1,43378119,43378119
2024-11-03 00:49:48,159,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,28363054,27658994,27701245,28996256,30790321,29557972,32085854,27923018,28176295,27759616,28901262,28901262
2024-11-03 00:49:48,162,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,36244861,38478871,41438601,-1,-1,-1,-1,-1,-1,-1,39587348,39587348
2024-11-03 00:49:49,172,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,27704982,27860260,26988410,35223846,28112713,30921403,29368970,28217595,26601088,27737554,28873681,28873681
2024-11-03 00:49:49,174,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,38779728,39912909,-1,-1,-1,-1,-1,-1,-1,-1,39799590,39799590
2024-11-03 00:49:49,184,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,27216787,26991215,26180952,27655719,28187205,27866572,27774235,28124836,26622899,27060298,27368071,27368071
2024-11-03 00:49:49,185,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,44878861,-1,-1,-1,-1,-1,-1,-1,-1,-1,44878861,44878861
2024-11-03 00:49:50,195,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,31723390,26618952,28726930,28498954,28457171,29207307,32431602,29995477,26826329,28713342,29119944,29119944
2024-11-03 00:49:50,197,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,38749276,40986620,-1,-1,-1,-1,-1,-1,-1,-1,40762885,40762885
2024-11-03 00:49:51,207,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,25699121,27007366,27937667,27857985,31690181,26675659,27945022,26804046,27241754,28211823,27707062,27707062
2024-11-03 00:49:51,208,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,38937768,-1,-1,-1,-1,-1,-1,-1,-1,-1,38937768,38937768
2024-11-03 00:49:51,218,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,27545275,30494933,27888966,36081230,31311235,31230931,36227899,28704587,29707768,32835683,31202850,31202850
2024-11-03 00:49:51,219,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,41611904,-1,-1,-1,-1,-1,-1,-1,-1,-1,41611904,41611904
2024-11-03 00:49:52,229,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,30746854,26608463,34598461,31162461,28247750,34065579,27108271,30657795,29400837,28877475,30147394,30147394
2024-11-03 00:49:52,230,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,124871718,-1,-1,-1,-1,-1,-1,-1,-1,-1,124871718,124871718
2024-11-03 00:49:52,231,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,151906476,-1,-1,-1,-1,-1,-1,-1,-1,-1,151906476,151906476
2024-11-03 00:49:52,232,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,200613666,-1,-1,-1,-1,-1,-1,-1,-1,-1,200613666,200613666
2024-11-03 00:49:52,233,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,133352465,-1,-1,-1,-1,-1,-1,-1,-1,-1,133352465,133352465
2024-11-03 00:49:53,234,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,159508642,-1,-1,-1,-1,-1,-1,-1,-1,-1,159508642,159508642
2024-11-03 00:49:53,235,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,126150307,-1,-1,-1,-1,-1,-1,-1,-1,-1,126150307,126150307
2024-11-03 00:49:53,236,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,160600680,-1,-1,-1,-1,-1,-1,-1,-1,-1,160600680,160600680
2024-11-03 00:49:53,237,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,122303501,-1,-1,-1,-1,-1,-1,-1,-1,-1,122303501,122303501
2024-11-03 00:49:53,238,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,145641804,-1,-1,-1,-1,-1,-1,-1,-1,-1,145641804,145641804
2024-11-03 00:49:53,239,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,109105373,-1,-1,-1,-1,-1,-1,-1,-1,-1,109105373,109105373
2024-11-03 00:49:54,240,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,165221729,-1,-1,-1,-1,-1,-1,-1,-1,-1,165221729,165221729
2024-11-03 00:49:54,241,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,129260610,-1,-1,-1,-1,-1,-1,-1,-1,-1,129260610,129260610
2024-11-03 00:49:54,242,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,149313102,-1,-1,-1,-1,-1,-1,-1,-1,-1,149313102,149313102
2024-11-03 00:49:54,243,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,115525084,-1,-1,-1,-1,-1,-1,-1,-1,-1,115525084,115525084
2024-11-03 00:49:54,244,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,172630543,-1,-1,-1,-1,-1,-1,-1,-1,-1,172630543,172630543
2024-11-03 00:49:55,245,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,119715086,-1,-1,-1,-1,-1,-1,-1,-1,-1,119715086,119715086
2024-11-03 00:49:55,246,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,154019331,-1,-1,-1,-1,-1,-1,-1,-1,-1,154019331,154019331
2024-11-03 00:49:55,247,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,133410405,-1,-1,-1,-1,-1,-1,-1,-1,-1,133410405,133410405
2024-11-03 00:49:55,248,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,162501361,-1,-1,-1,-1,-1,-1,-1,-1,-1,162501361,162501361
2024-11-03 00:49:55,249,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,112252940,-1,-1,-1,-1,-1,-1,-1,-1,-1,112252940,112252940
2024-11-03 00:49:55,250,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,143034663,-1,-1,-1,-1,-1,-1,-1,-1,-1,143034663,143034663
2024-11-03 00:49:56,251,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,117097376,-1,-1,-1,-1,-1,-1,-1,-1,-1,117097376,117097376
2024-11-03 00:49:56,252,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,62966518,-1,-1,-1,-1,-1,-1,-1,-1,-1,62966518,62966518
2024-11-03 00:49:56,253,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,60065758,-1,-1,-1,-1,-1,-1,-1,-1,-1,60065758,60065758
2024-11-03 00:49:56,254,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,53220632,-1,-1,-1,-1,-1,-1,-1,-1,-1,53220632,53220632
2024-11-03 00:49:56,255,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,75644671,-1,-1,-1,-1,-1,-1,-1,-1,-1,75644671,75644671
2024-11-03 00:49:56,256,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,55371258,-1,-1,-1,-1,-1,-1,-1,-1,-1,55371258,55371258
2024-11-03 00:49:56,257,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,46282629,-1,-1,-1,-1,-1,-1,-1,-1,-1,46282629,46282629
2024-11-03 00:49:56,258,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,73014827,-1,-1,-1,-1,-1,-1,-1,-1,-1,73014827,73014827
2024-11-03 00:49:56,259,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,50786882,-1,-1,-1,-1,-1,-1,-1,-1,-1,50786882,50786882
2024-11-03 00:49:56,260,VerletListsCells,1.000000,vlc_c08,none,AoS,disabled,84168481,-1,-1,-1,-1,-1,-1,-1,-1,-1,84168481,84168481
2024-11-03 00:49:56,261,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,56739658,-1,-1,-1,-1,-1,-1,-1,-1,-1,56739658,56739658
2024-11-03 00:49:56,262,VerletListsCells,1.000000,vlc_c08,none,SoA,disabled,98535575,-1,-1,-1,-1,-1,-1,-1,-1,-1,98535575,98535575
2024-11-03 00:49:57,263,VerletListsCells,1.000000,vlc_c08,none,SoA,enabled,69658391,-1,-1,-1,-1,-1,-1,-1,-1,-1,69658391,69658391
2024-11-03 00:49:57,264,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,54236928,-1,-1,-1,-1,-1,-1,-1,-1,-1,54236928,54236928
2024-11-03 00:49:57,265,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,43111309,-1,-1,-1,-1,-1,-1,-1,-1,-1,43111309,43111309
2024-11-03 00:49:57,266,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,61909717,-1,-1,-1,-1,-1,-1,-1,-1,-1,61909717,61909717
2024-11-03 00:49:57,267,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,51703697,-1,-1,-1,-1,-1,-1,-1,-1,-1,51703697,51703697
2024-11-03 00:49:57,268,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,58096747,-1,-1,-1,-1,-1,-1,-1,-1,-1,58096747,58096747
2024-11-03 00:49:57,269,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,52944875,-1,-1,-1,-1,-1,-1,-1,-1,-1,52944875,52944875
2024-11-03 00:49:57,270,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,72998957,-1,-1,-1,-1,-1,-1,-1,-1,-1,72998957,72998957
2024-11-03 00:49:57,271,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,51452317,-1,-1,-1,-1,-1,-1,-1,-1,-1,51452317,51452317
2024-11-03 00:49:57,272,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,54962196,-1,-1,-1,-1,-1,-1,-1,-1,-1,54962196,54962196
2024-11-03 00:49:57,273,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,43120917,-1,-1,-1,-1,-1,-1,-1,-1,-1,43120917,43120917
2024-11-03 00:49:57,274,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,63270862,-1,-1,-1,-1,-1,-1,-1,-1,-1,63270862,63270862
2024-11-03 00:49:57,275,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,50664108,-1,-1,-1,-1,-1,-1,-1,-1,-1,50664108,50664108
2024-11-03 00:49:57,276,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,54587991,-1,-1,-1,-1,-1,-1,-1,-1,-1,54587991,54587991
2024-11-03 00:49:58,277,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,43960223,-1,-1,-1,-1,-1,-1,-1,-1,-1,43960223,43960223
2024-11-03 00:49:58,278,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,59241108,-1,-1,-1,-1,-1,-1,-1,-1,-1,59241108,59241108
2024-11-03 00:49:58,279,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,enabled,50396852,-1,-1,-1,-1,-1,-1,-1,-1,-1,50396852,50396852
2024-11-03 00:49:58,280,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,56435191,-1,-1,-1,-1,-1,-1,-1,-1,-1,56435191,56435191
2024-11-03 00:49:58,281,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,45191643,-1,-1,-1,-1,-1,-1,-1,-1,-1,45191643,45191643
2024-11-03 00:49:58,282,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,62621289,-1,-1,-1,-1,-1,-1,-1,-1,-1,62621289,62621289
2024-11-03 00:49:58,283,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,62275064,-1,-1,-1,-1,-1,-1,-1,-1,-1,62275064,62275064
2024-11-03 00:49:58,284,PairwiseVerletLists,1.000000,vlp_c01,none,AoS,disabled,77214091,-1,-1,-1,-1,-1,-1,-1,-1,-1,77214091,77214091
2024-11-03 00:49:58,285,PairwiseVerletLists,1.000000,vlp_c01,none,SoA,disabled,117201621,-1,-1,-1,-1,-1,-1,-1,-1,-1,117201621,117201621
2024-11-03 00:49:58,286,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,disabled,82033580,-1,-1,-1,-1,-1,-1,-1,-1,-1,82033580,82033580
2024-11-03 00:49:58,287,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,enabled,60283100,-1,-1,-1,-1,-1,-1,-1,-1,-1,60283100,60283100
2024-11-03 00:49:59,288,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,disabled,125362767,-1,-1,-1,-1,-1,-1,-1,-1,-1,125362767,125362767
2024-11-03 00:49:59,289,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,enabled,90170910,-1,-1,-1,-1,-1,-1,-1,-1,-1,90170910,90170910
2024-11-03 00:49:59,290,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,disabled,80933242,-1,-1,-1,-1,-1,-1,-1,-1,-1,80933242,80933242
2024-11-03 00:49:59,291,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,enabled,61368791,-1,-1,-1,-1,-1,-1,-1,-1,-1,61368791,61368791
2024-11-03 00:49:59,292,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,disabled,122333777,-1,-1,-1,-1,-1,-1,-1,-1,-1,122333777,122333777
2024-11-03 00:49:59,293,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,enabled,90107117,-1,-1,-1,-1,-1,-1,-1,-1,-1,90107117,90107117
2024-11-03 00:49:59,294,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,AoS,disabled,94354410,-1,-1,-1,-1,-1,-1,-1,-1,-1,94354410,94354410
