Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 03:24:26,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,67498543,65025346,57621849,57297288,56079324,63663392,53793061,60295401,56559759,58403472,59623742,59623742
2024-11-03 03:24:26,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,41279994,45199973,54369955,43951753,46478409,48113788,42268583,40489374,41597262,45815514,44956459,44956459
2024-11-03 03:24:27,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,46201388,56145489,45061031,44455792,58689558,50607344,42774476,42009927,42428394,44086908,47246030,47246030
2024-11-03 03:24:28,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,46154040,49879756,49277821,55718427,49393649,54903551,49672844,48162142,44830169,44824387,49281678,49281678
2024-11-03 03:24:28,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,32122474,32674012,34714912,32719419,36728336,33814411,30072423,33487733,31722339,31389794,32944585,32944585
2024-11-03 03:24:29,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,42137990,40882086,42854408,45078695,43196372,40783528,41769884,44525562,42389571,43266392,42688448,42688448
2024-11-03 03:24:29,61,LinkedCells,1.000000,lc_c04,none,SoA,enabled,40787717,51480256,-1,-1,-1,-1,-1,-1,-1,-1,50411002,50411002
2024-11-03 03:24:29,62,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,52119991,-1,-1,-1,-1,-1,-1,-1,-1,-1,52119991,52119991
2024-11-03 03:24:29,72,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,34621730,31175862,30357990,31964004,30887588,29484688,31922526,30451627,30374441,31655736,31289618,31289618
2024-11-03 03:24:30,82,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,43287855,42964485,43723141,41844305,41035142,40514622,41063065,40407210,42380414,40705611,41792584,41792584
2024-11-03 03:24:30,92,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,27583589,30255228,28433157,28719977,28277236,29058927,28544196,29489085,32320397,30559222,29324100,29324100
2024-11-03 03:24:30,93,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,53048859,-1,-1,-1,-1,-1,-1,-1,-1,-1,53048859,53048859
2024-11-03 03:24:31,101,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,36084924,36269270,37228587,36968815,37409176,36937199,37692468,50144943,-1,-1,38663550,38663550
2024-11-03 03:24:31,102,LinkedCells,1.000000,lc_c08,none,AoS,disabled,67514512,-1,-1,-1,-1,-1,-1,-1,-1,-1,67514512,67514512
2024-11-03 03:24:32,112,LinkedCells,1.000000,lc_c08,none,AoS,enabled,37782259,35360461,35659974,33124098,31507936,33020936,31359056,32287886,34726745,35564192,34039354,34039354
2024-11-03 03:24:32,114,LinkedCells,1.000000,lc_c08,none,SoA,disabled,39970407,55386299,-1,-1,-1,-1,-1,-1,-1,-1,53844709,53844709
