Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-03 03:24:45,229,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,13094449,29324100
2024-11-03 03:25:39,1313,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13252730,21944326
2024-11-03 03:26:23,2245,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,13491958,21219435
2024-11-03 03:27:10,3263,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,12088395,21005561
2024-11-03 03:27:57,4326,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12203612,20787527
2024-11-03 03:28:43,5300,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,15477025,20557513
2024-11-03 03:29:28,6319,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12524037,20157560
2024-11-03 03:30:12,7276,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,19317286,20762635
2024-11-03 03:30:58,8303,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13113436,20805049
2024-11-03 03:31:41,9273,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,13150146,20419411
2024-11-03 03:32:33,10295,LinkedCells,1.000000,lc_c08,none,AoS,enabled,12963475,21474275
2024-11-03 03:33:30,11317,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,13037974,21867975
