Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 02:47:43,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,73740455,43862,411,73791371,19366496
2024-11-03 02:47:44,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,56579405,45476,0,56632015,5090829
2024-11-03 02:47:44,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,58080176,32892,0,58118137,4493453
2024-11-03 02:47:44,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,52150997,33734,0,52190482,3533102
2024-11-03 02:47:44,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,52839474,41789,0,52886723,5258054
2024-11-03 02:47:44,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,58915619,31049,0,58951907,3879025
2024-11-03 02:47:44,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,61272845,34805,0,61312891,4104119
2024-11-03 02:47:44,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,51458308,35908,0,51499696,3940570
2024-11-03 02:47:44,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,50646187,32481,0,50683458,3463190
2024-11-03 02:47:44,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,60153874,32081,0,60190734,3647779
2024-11-03 02:47:44,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,42645784,29015,170,42680750,5854249
2024-11-03 02:47:44,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,45684584,390045,0,46081503,4138334
2024-11-03 02:47:44,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,39760902,541932,0,40309336,3746244
2024-11-03 02:47:44,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,44791988,507327,0,45304334,3607121
2024-11-03 02:47:44,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,46608996,798466,0,47414295,5197390
2024-11-03 02:47:45,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,57819225,1104874,0,58931923,4924817
2024-11-03 02:47:45,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,53623162,677248,0,54306972,4649788
