Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 03:35:01,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,61901404,50455,231,61959072,18196846
2024-11-03 03:35:01,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,56922010,46488,0,56975892,3774886
2024-11-03 03:35:01,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,53762541,32521,0,53800182,5344492
2024-11-03 03:35:01,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,53180727,32782,0,53218288,3499388
2024-11-03 03:35:01,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,51228693,33743,0,51267395,3718891
2024-11-03 03:35:01,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,56045670,34024,0,56085004,3954093
2024-11-03 03:35:01,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,52257430,53140,0,52319577,3608353
2024-11-03 03:35:01,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,56275273,32902,0,56313515,3627549
2024-11-03 03:35:01,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,51177255,31620,0,51214074,3586221
2024-11-03 03:35:01,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,53835551,32281,0,53872410,3522742
2024-11-03 03:35:01,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,43140023,31820,160,43177645,6612408
2024-11-03 03:35:01,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,44270532,364787,0,44641460,4136737
2024-11-03 03:35:01,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,43249037,469394,0,43723731,3907736
2024-11-03 03:35:01,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,41434523,669571,0,42110395,3752765
2024-11-03 03:35:02,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,41260596,452432,0,41718448,3652566
