Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 03:35:01,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,61959072,56975892,53800182,53218288,51267395,56085004,52319577,56313515,51214074,53872410,54702540,54702540
2024-11-03 03:35:02,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,43177645,44641460,43723731,42110395,41718448,47387541,50350579,43901569,42316405,45488535,44481630,44481630
2024-11-03 03:35:03,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,42050361,44915976,50028241,41615564,44036332,58938628,47186613,49143077,65538390,45224296,48867747,48867747
2024-11-03 03:35:03,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,49548208,49614003,49065729,51927398,46986896,49813317,45567303,45728897,46872832,46454664,48157924,48157924
2024-11-03 03:35:04,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,33504254,37745649,34667164,31145914,29518902,39238219,35033224,32804496,31171412,31951441,33678067,33678067
2024-11-03 03:35:04,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,49465901,51979044,42798208,42681151,41700785,41643217,41959191,43111180,45762379,46861478,44796252,44796252
2024-11-03 03:35:05,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,34598764,34193583,29633848,31187321,43068820,40571178,32832740,32674582,30379852,29192278,33833296,33833296
2024-11-03 03:35:05,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,47749061,51800347,53155819,52817860,47755081,44028126,46506693,43860871,43229911,46003385,47690714,47690714
2024-11-03 03:35:06,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,31331564,32225095,30871597,36722052,29854685,34579458,31085219,45296734,37152564,41323073,35044203,35044203
2024-11-03 03:35:07,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,61107929,49923373,49174734,50120906,56388585,44300278,57110614,50759948,55905696,59035599,53382765,53382765
2024-11-03 03:35:07,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,42344785,46922476,35785267,29649367,31277994,45294562,35743379,41683731,38263483,40049146,38701418,38701418
2024-11-03 03:35:08,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,56148303,60055789,52016896,58840881,49965592,54467238,53682812,54925609,54472668,56568723,55114450,55114450
2024-11-03 03:35:09,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,47141486,47446589,41976343,43432595,37370973,41967015,43474395,48852227,141079799,137570558,63031197,63031197
2024-11-03 03:35:10,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,111651057,50878782,44295026,53823678,44665855,45933261,45573024,39676394,41957507,40213446,51866802,51866802
