Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 03:12:33,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,86258035,85476340,49930336,50688243,53787648,60979244,59049240,52786395,49270564,52279289,60050532,60050532
2024-11-03 03:12:34,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,42607264,42253097,45522433,46558175,40767781,39978453,39723503,40124016,41530345,43321378,42238643,42238643
2024-11-03 03:12:34,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,42978513,43188968,40793076,45530580,41072272,42417528,44644763,39967030,40876464,40258582,42172777,42172777
2024-11-03 03:12:35,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,41848576,41576844,47699315,42852959,44123019,44056514,45641577,40211121,41712440,42264990,43198735,43198735
2024-11-03 03:12:35,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,29381114,32545050,34930615,29124649,30325200,30073536,29345785,30047739,29656461,30625378,30605552,30605552
2024-11-03 03:12:36,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,46597745,40819827,40962184,41449891,42602604,41946387,41278160,40757707,40266012,40447887,41712840,41712840
2024-11-03 03:12:36,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,27538523,27876309,28369139,28213204,29495890,27497435,27316627,28436855,27874765,27862743,28048148,28048148
2024-11-03 03:12:37,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,39877870,39665391,42757274,40295968,42253878,43734524,44895211,41416080,42982108,41527198,41940549,41940549
2024-11-03 03:12:37,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,29938443,31697998,30371708,31416698,29348592,29130000,30739140,30097413,29297406,32488755,30452614,30452614
2024-11-03 03:12:38,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,42456798,40745615,44062671,41736404,42068326,41569918,42393620,46934399,46198468,53540892,44170710,44170710
2024-11-03 03:12:38,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,30719473,29020876,44757830,64633462,49048001,37847099,57935538,35969711,36499782,35989528,42242129,42242129
2024-11-03 03:12:39,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,63611791,66371677,73535049,68672370,58647672,64557990,60542027,64256803,53687249,48658498,62254112,62254112
2024-11-03 03:12:40,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,38950243,36233769,41575547,47902324,42669649,50513309,59872898,57637858,43646029,43931515,46293313,46293313
2024-11-03 03:12:41,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,39407187,43235133,39294472,46364188,44058473,47305670,77731742,79337115,74430314,65928132,55709242,55709242
2024-11-03 03:12:41,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,38847854,39301004,55182553,60490992,36176241,28162087,33105329,28822922,31971333,33407344,38546765,38546765
2024-11-03 03:12:42,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,45787754,52373172,45384742,56959843,49447493,64418668,93302896,97950360,71498363,54448714,63157200,63157200
2024-11-03 03:12:43,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,31977993,34464436,33283202,30418116,33403620,33575972,30743600,29355124,29005787,31142239,31737008,31737008
2024-11-03 03:12:43,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,43738724,50711688,56142084,41390432,37914184,54101573,43840337,39904124,35703261,35214433,43866083,43866083
2024-11-03 03:12:44,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,27420462,27227499,25554538,29723459,30189577,28463506,32605398,25619291,26077183,26768275,27964918,27964918
